date,from_time,power
2018-01-01,00:00:00,9556
2018-01-01,01:00:00,8512
2018-01-01,02:00:00,10947
2018-01-01,03:00:00,12376
2018-01-01,04:00:00,10260
2018-01-01,05:00:00,10739
2018-01-01,06:00:00,10361
2018-01-01,07:00:00,10472
2018-01-01,08:00:00,11273
2018-01-01,09:00:00,9696
2018-01-01,10:00:00,10636
2018-01-01,11:00:00,9985
2018-01-01,12:00:00,11330
2018-01-01,13:00:00,11026
2018-01-01,14:00:00,10800
2018-01-01,15:00:00,10054
2018-01-01,16:00:00,10751
2018-01-01,17:00:00,10177
2018-01-01,18:00:00,10445
2018-01-01,19:00:00,11158
2018-01-01,20:00:00,9874
2018-01-01,21:00:00,9664
2018-01-01,22:00:00,11439
2018-01-01,23:00:00,10654
2018-01-02,00:00:00,11258
2018-01-02,01:00:00,10427
2018-01-02,02:00:00,10615
2018-01-02,03:00:00,10559
2018-01-02,04:00:00,9931
2018-01-02,05:00:00,11411
2018-01-02,06:00:00,10332
2018-01-02,07:00:00,9220
2018-01-02,08:00:00,10246
2018-01-02,09:00:00,10838
2018-01-02,10:00:00,9831
2018-01-02,11:00:00,9236
2018-01-02,12:00:00,10260
2018-01-02,13:00:00,10661
2018-01-02,14:00:00,9513
2018-01-02,15:00:00,11742
2018-01-02,16:00:00,10754
2018-01-02,17:00:00,10845
2018-01-02,18:00:00,11640
2018-01-02,19:00:00,9606
2018-01-02,20:00:00,10635
2018-01-02,21:00:00,10785
2018-01-02,22:00:00,10578
2018-01-02,23:00:00,11155
2018-01-03,00:00:00,12407
2018-01-03,01:00:00,9337
2018-01-03,02:00:00,11435
2018-01-03,03:00:00,10034
2018-01-03,04:00:00,10430
2018-01-03,05:00:00,10088
2018-01-03,06:00:00,9306
2018-01-03,07:00:00,10341
2018-01-03,08:00:00,10877
2018-01-03,09:00:00,9256
2018-01-03,10:00:00,11913
2018-01-03,11:00:00,9211
2018-01-03,12:00:00,11358
2018-01-03,13:00:00,8857
2018-01-03,14:00:00,10970
2018-01-03,15:00:00,10652
2018-01-03,16:00:00,9812
2018-01-03,17:00:00,10133
2018-01-03,18:00:00,11093
2018-01-03,19:00:00,8486
2018-01-03,20:00:00,10474
2018-01-03,21:00:00,9906
2018-01-03,22:00:00,10801
2018-01-03,23:00:00,10686
2018-01-04,00:00:00,10032
2018-01-04,01:00:00,10243
2018-01-04,02:00:00,11923
2018-01-04,03:00:00,10009
2018-01-04,04:00:00,10150
2018-01-04,05:00:00,9413
2018-01-04,06:00:00,10522
2018-01-04,07:00:00,9900
2018-01-04,08:00:00,9856
2018-01-04,09:00:00,10129
2018-01-04,10:00:00,11815
2018-01-04,11:00:00,10598
2018-01-04,12:00:00,10255
2018-01-04,13:00:00,9903
2018-01-04,14:00:00,10051
2018-01-04,15:00:00,11444
2018-01-04,16:00:00,11298
2018-01-04,17:00:00,11493
2018-01-04,18:00:00,11120
2018-01-04,19:00:00,9182
2018-01-04,20:00:00,10705
2018-01-04,21:00:00,11113
2018-01-04,22:00:00,10738
2018-01-04,23:00:00,11202
2018-01-05,00:00:00,12164
2018-01-05,01:00:00,10021
2018-01-05,02:00:00,10663
2018-01-05,03:00:00,11182
2018-01-05,04:00:00,10550
2018-01-05,05:00:00,10410
2018-01-05,06:00:00,10501
2018-01-05,07:00:00,12017
2018-01-05,08:00:00,9222
2018-01-05,09:00:00,9576
2018-01-05,10:00:00,10822
2018-01-05,11:00:00,11661
2018-01-05,12:00:00,11723
2018-01-05,13:00:00,11895
2018-01-05,14:00:00,10390
2018-01-05,15:00:00,10327
2018-01-05,16:00:00,9831
2018-01-05,17:00:00,10599
2018-01-05,18:00:00,9104
2018-01-05,19:00:00,11973
2018-01-05,20:00:00,10249
2018-01-05,21:00:00,9328
2018-01-05,22:00:00,11877
2018-01-05,23:00:00,10639
2018-01-06,00:00:00,10368
2018-01-06,01:00:00,10324
2018-01-06,02:00:00,10248
2018-01-06,03:00:00,10328
2018-01-06,04:00:00,11022
2018-01-06,05:00:00,11820
2018-01-06,06:00:00,8814
2018-01-06,07:00:00,11341
2018-01-06,08:00:00,9856
2018-01-06,09:00:00,10566
2018-01-06,10:00:00,11598
2018-01-06,11:00:00,10738
2018-01-06,12:00:00,10844
2018-01-06,13:00:00,9731
2018-01-06,14:00:00,10529
2018-01-06,15:00:00,8473
2018-01-06,16:00:00,9997
2018-01-06,17:00:00,10889
2018-01-06,18:00:00,10868
2018-01-06,19:00:00,11145
2018-01-06,20:00:00,9631
2018-01-06,21:00:00,10381
2018-01-06,22:00:00,9945
2018-01-06,23:00:00,9583
2018-01-07,00:00:00,11157
2018-01-07,01:00:00,9835
2018-01-07,02:00:00,11128
2018-01-07,03:00:00,9678
2018-01-07,04:00:00,10829
2018-01-07,05:00:00,10434
2018-01-07,06:00:00,11241
2018-01-07,07:00:00,10246
2018-01-07,08:00:00,10319
2018-01-07,09:00:00,9330
2018-01-07,10:00:00,11046
2018-01-07,11:00:00,11455
2018-01-07,12:00:00,10261
2018-01-07,13:00:00,10299
2018-01-07,14:00:00,10624
2018-01-07,15:00:00,9888
2018-01-07,16:00:00,11036
2018-01-07,17:00:00,9191
2018-01-07,18:00:00,10105
2018-01-07,19:00:00,10508
2018-01-07,20:00:00,10215
2018-01-07,21:00:00,10835
2018-01-07,22:00:00,12574
2018-01-07,23:00:00,11201
2018-01-08,00:00:00,10324
2018-01-08,01:00:00,10383
2018-01-08,02:00:00,9887
2018-01-08,03:00:00,10228
2018-01-08,04:00:00,11682
2018-01-08,05:00:00,10116
2018-01-08,06:00:00,10872
2018-01-08,07:00:00,11762
2018-01-08,08:00:00,11818
2018-01-08,09:00:00,10768
2018-01-08,10:00:00,9673
2018-01-08,11:00:00,10779
2018-01-08,12:00:00,10884
2018-01-08,13:00:00,10118
2018-01-08,14:00:00,11611
2018-01-08,15:00:00,10193
2018-01-08,16:00:00,8814
2018-01-08,17:00:00,11507
2018-01-08,18:00:00,10060
2018-01-08,19:00:00,10259
2018-01-08,20:00:00,11504
2018-01-08,21:00:00,10863
2018-01-08,22:00:00,11487
2018-01-08,23:00:00,10228
2018-01-09,00:00:00,8058
2018-01-09,01:00:00,9607
2018-01-09,02:00:00,9822
2018-01-09,03:00:00,8764
2018-01-09,04:00:00,9363
2018-01-09,05:00:00,8806
2018-01-09,06:00:00,8502
2018-01-09,07:00:00,7933
2018-01-09,08:00:00,9398
2018-01-09,09:00:00,9261
2018-01-09,10:00:00,8414
2018-01-09,11:00:00,8923
2018-01-09,12:00:00,8399
2018-01-09,13:00:00,7390
2018-01-09,14:00:00,8653
2018-01-09,15:00:00,10505
2018-01-09,16:00:00,9990
2018-01-09,17:00:00,9208
2018-01-09,18:00:00,9193
2018-01-09,19:00:00,9888
2018-01-09,20:00:00,8432
2018-01-09,21:00:00,9092
2018-01-09,22:00:00,9225
2018-01-09,23:00:00,8141
2018-01-10,00:00:00,1697
2018-01-10,01:00:00,1782
2018-01-10,02:00:00,1852
2018-01-10,03:00:00,1714
2018-01-10,04:00:00,1645
2018-01-10,05:00:00,1753
2018-01-10,06:00:00,1928
2018-01-10,07:00:00,1799
2018-01-10,08:00:00,1754
2018-01-10,09:00:00,1773
2018-01-10,10:00:00,1757
2018-01-10,11:00:00,1748
2018-01-10,12:00:00,1752
2018-01-10,13:00:00,1689
2018-01-10,14:00:00,1656
2018-01-10,15:00:00,1639
2018-01-10,16:00:00,1768
2018-01-10,17:00:00,1840
2018-01-10,18:00:00,1730
2018-01-10,19:00:00,1828
2018-01-10,20:00:00,1658
2018-01-10,21:00:00,1618
2018-01-10,22:00:00,1712
2018-01-10,23:00:00,1625
2018-01-11,00:00:00,1885
2018-01-11,01:00:00,1595
2018-01-11,02:00:00,1754
2018-01-11,03:00:00,1737
2018-01-11,04:00:00,1653
2018-01-11,05:00:00,1847
2018-01-11,06:00:00,1770
2018-01-11,07:00:00,1706
2018-01-11,08:00:00,1888
2018-01-11,09:00:00,1787
2018-01-11,10:00:00,1828
2018-01-11,11:00:00,1728
2018-01-11,12:00:00,1780
2018-01-11,13:00:00,1730
2018-01-11,14:00:00,1759
2018-01-11,15:00:00,1885
2018-01-11,16:00:00,1760
2018-01-11,17:00:00,1759
2018-01-11,18:00:00,1801
2018-01-11,19:00:00,1822
2018-01-11,20:00:00,1817
2018-01-11,21:00:00,1825
2018-01-11,22:00:00,1748
2018-01-11,23:00:00,1622
2018-01-12,00:00:00,1840
2018-01-12,01:00:00,1772
2018-01-12,02:00:00,1775
2018-01-12,03:00:00,1818
2018-01-12,04:00:00,1792
2018-01-12,05:00:00,1580
2018-01-12,06:00:00,1704
2018-01-12,07:00:00,1767
2018-01-12,08:00:00,1671
2018-01-12,09:00:00,1610
2018-01-12,10:00:00,1805
2018-01-12,11:00:00,1641
2018-01-12,12:00:00,1744
2018-01-12,13:00:00,1728
2018-01-12,14:00:00,1668
2018-01-12,15:00:00,1746
2018-01-12,16:00:00,1697
2018-01-12,17:00:00,1662
2018-01-12,18:00:00,1797
2018-01-12,19:00:00,1721
2018-01-12,20:00:00,1890
2018-01-12,21:00:00,1665
2018-01-12,22:00:00,1683
2018-01-12,23:00:00,1676
2018-01-13,00:00:00,1647
2018-01-13,01:00:00,1689
2018-01-13,02:00:00,1835
2018-01-13,03:00:00,1879
2018-01-13,04:00:00,1602
2018-01-13,05:00:00,1656
2018-01-13,06:00:00,1798
2018-01-13,07:00:00,1731
2018-01-13,08:00:00,1699
2018-01-13,09:00:00,1814
2018-01-13,10:00:00,1670
2018-01-13,11:00:00,1595
2018-01-13,12:00:00,1750
2018-01-13,13:00:00,1786
2018-01-13,14:00:00,1618
2018-01-13,15:00:00,1688
2018-01-13,16:00:00,1741
2018-01-13,17:00:00,1662
2018-01-13,18:00:00,1830
2018-01-13,19:00:00,1731
2018-01-13,20:00:00,1776
2018-01-13,21:00:00,1775
2018-01-13,22:00:00,1726
2018-01-13,23:00:00,1772
2018-01-14,00:00:00,1811
2018-01-14,01:00:00,1624
2018-01-14,02:00:00,1556
2018-01-14,03:00:00,1384
2018-01-14,04:00:00,1477
2018-01-14,05:00:00,1528
2018-01-14,06:00:00,1526
2018-01-14,07:00:00,1644
2018-01-14,08:00:00,1483
2018-01-14,09:00:00,1481
2018-01-14,10:00:00,1556
2018-01-14,11:00:00,1260
2018-01-14,12:00:00,1398
2018-01-14,13:00:00,1270
2018-01-14,14:00:00,1486
2018-01-14,15:00:00,1588
2018-01-14,16:00:00,1632
2018-01-14,17:00:00,1637
2018-01-14,18:00:00,1561
2018-01-14,19:00:00,1397
2018-01-14,20:00:00,1568
2018-01-14,21:00:00,1589
2018-01-14,22:00:00,1601
2018-01-14,23:00:00,1395
2018-01-15,00:00:00,1320
2018-01-15,01:00:00,1415
2018-01-15,02:00:00,1543
2018-01-15,03:00:00,1353
2018-01-15,04:00:00,1419
2018-01-15,05:00:00,1543
2018-01-15,06:00:00,1392
2018-01-15,07:00:00,1709
2018-01-15,08:00:00,1558
2018-01-15,09:00:00,1291
2018-01-15,10:00:00,1472
2018-01-15,11:00:00,1439
2018-01-15,12:00:00,1695
2018-01-15,13:00:00,1258
2018-01-15,14:00:00,1434
2018-01-15,15:00:00,1508
2018-01-15,16:00:00,1038
2018-01-15,17:00:00,1317
2018-01-15,18:00:00,1193
2018-01-15,19:00:00,1506
2018-01-15,20:00:00,1086
2018-01-15,21:00:00,1388
2018-01-15,22:00:00,1444
2018-01-15,23:00:00,1314
2018-01-16,00:00:00,1352
2018-01-16,01:00:00,1699
2018-01-16,02:00:00,1424
2018-01-16,03:00:00,1216
2018-01-16,04:00:00,1529
2018-01-16,05:00:00,1457
2018-01-16,06:00:00,1220
2018-01-16,07:00:00,1379
2018-01-16,08:00:00,1290
2018-01-16,09:00:00,1621
2018-01-16,10:00:00,1356
2018-01-16,11:00:00,1680
2018-01-16,12:00:00,1323
