device,room,weather_type,date,from_time,to_time,time,no_of_people,time_stayed_mins,power,message,action
AC,100,hot,01-01-2018,00:00:00,01:00:00,midnight,3,21,1528.898438,"Moving 10 people from room 119 to room 105 saves 1506.015625 of electricity, power consumption will reduce from 10610.7421875 to 9104.7265625",Turn off AC in room 119
AC,100,very cold,01-01-2018,00:00:00,01:00:00,midnight,10,5,1512.648438,"Moving 10 people from room 119 to room 105 saves 1506.015625 of electricity, power consumption will reduce from 10610.7421875 to 9104.7265625",Turn off AC in room 119
AC,100,cold,01-01-2018,02:00:00,03:00:00,midnight,4,22,1521.007813,"Moving 15 people from room 102 to room 105 saves 1468.6015625 of electricity, power consumption will reduce from 10531.81640625 to 9063.21484375",Turn off AC in room 102
AC,100,cold,01-01-2018,03:00:00,04:00:00,midnight,3,5,1499.714844,"Moving 7 people from room 110 to room 100 saves 1474.1484375 of electricity, power consumption will reduce from 10478.48046875 to 9004.33203125",Turn off AC in room 110
AC,100,very cold,01-01-2018,05:00:00,06:00:00,early morning,2,35,1507.480469,"Moving 2 people from room 100 to room 110 saves 1507.48046875 of electricity, power consumption will reduce from 10521.09375 to 9013.61328125",Turn off AC in room 100
AC,100,very hot,01-01-2018,06:00:00,07:00:00,early morning,11,2,1513.113281,"Moving 6 people from room 101 to room 111 saves 1498.8984375 of electricity, power consumption will reduce from 10435.109375 to 8936.2109375",Turn off AC in room 101
AC,100,low hot,01-01-2018,10:00:00,11:00:00,morning,14,47,1514.121094,"Moving 2 people from room 103 to room 100 saves 1448.66015625 of electricity, power consumption will reduce from 10411.42578125 to 8962.765625",Turn off AC in room 103
AC,100,very cold,01-01-2018,10:00:00,11:00:00,morning,3,22,1482.558594,"Moving 2 people from room 103 to room 100 saves 1448.66015625 of electricity, power consumption will reduce from 10411.42578125 to 8962.765625",Turn off AC in room 103
AC,100,very cold,02-01-2018,01:00:00,02:00:00,midnight,8,59,1471.210938,None,Turn off AC in room 119
AC,100,very cold,02-01-2018,01:00:00,02:00:00,midnight,10,40,1466.5,None,Turn off AC in room 119
AC,100,low cold,02-01-2018,02:00:00,03:00:00,midnight,15,36,1525.511719,"Moving 6 people from room 112 to room 107 saves 1494.38671875 of electricity, power consumption will reduce from 10557.14453125 to 9062.7578125",Turn off AC in room 112
AC,100,very hot,02-01-2018,05:00:00,06:00:00,early morning,13,42,1512.921875,"Moving 3 people from room 114 to room 118 saves 1478.84375 of electricity, power consumption will reduce from 10386.2421875 to 8907.3984375",Turn off AC in room 114
AC,100,very hot,02-01-2018,10:00:00,11:00:00,morning,1,59,1496.472656,"Moving 8 people from room 102 to room 105 saves 1408.296875 of electricity, power consumption will reduce from 10185.78125 to 8777.484375",Turn off AC in room 102
AC,100,low cold,02-01-2018,13:00:00,14:00:00,afternoon,4,16,1526.792969,"Moving 1 people from room 113 to room 104 saves 1473.6796875 of electricity, power consumption will reduce from 10487.359375 to 9013.6796875",Turn off AC in room 113
AC,100,hot,02-01-2018,16:00:00,17:00:00,evening,13,41,1476.417969,"Moving 13 people from room 117 to room 101 saves 1434.34765625 of electricity, power consumption will reduce from 10268.86328125 to 8834.515625",Turn off AC in room 117
AC,100,hot,02-01-2018,18:00:00,19:00:00,evening,0,0,1512.132813,"Moving 13 people from room 108 to room 114 saves 1509.82421875 of electricity, power consumption will reduce from 10593.91796875 to 9084.09375",Turn off AC in room 108
AC,100,cold,02-01-2018,22:00:00,23:00:00,night,2,19,1501.964844,None,Turn off AC in room 111
AC,100,low hot,03-01-2018,03:00:00,04:00:00,midnight,9,29,1513.792969,"Moving 6 people from room 109 to room 110 saves 1463.44140625 of electricity, power consumption will reduce from 10318.59375 to 8855.15234375",Turn off AC in room 109
AC,100,very hot,03-01-2018,08:00:00,09:00:00,morning,2,36,1534.597656,"Moving 2 people from room 108 to room 108 saves 1483.52734375 of electricity, power consumption will reduce from 10497.59765625 to 9014.0703125",Turn off AC in room 108
AC,100,low hot,03-01-2018,09:00:00,10:00:00,morning,4,14,1535.210938,"Moving 6 people from room 107 to room 110 saves 1528.90625 of electricity, power consumption will reduce from 10493.2578125 to 8964.3515625",Turn off AC in room 107
AC,100,cold,03-01-2018,10:00:00,11:00:00,morning,3,35,1468.886719,"Moving 15 people from room 108 to room 100 saves 1439.953125 of electricity, power consumption will reduce from 10199.12890625 to 8759.17578125",Turn off AC in room 108
AC,100,very cold,03-01-2018,10:00:00,11:00:00,morning,15,2,1459.296875,"Moving 15 people from room 108 to room 100 saves 1439.953125 of electricity, power consumption will reduce from 10199.12890625 to 8759.17578125",Turn off AC in room 108
AC,100,cold,03-01-2018,12:00:00,13:00:00,afternoon,7,40,1512.515625,"Moving 2 people from room 103 to room 102 saves 1477.109375 of electricity, power consumption will reduce from 10459.046875 to 8981.9375",Turn off AC in room 103
AC,100,very hot,03-01-2018,13:00:00,14:00:00,afternoon,3,13,1532.109375,"Moving 2 people from room 107 to room 115 saves 1516.953125 of electricity, power consumption will reduce from 10605.63671875 to 9088.68359375",Turn off AC in room 107
AC,100,low hot,03-01-2018,14:00:00,15:00:00,afternoon,0,0,1489.632813,None,Turn off AC in room 119
AC,100,very hot,03-01-2018,15:00:00,16:00:00,afternoon,3,53,1516.808594,"Moving 11 people from room 109 to room 118 saves 1466.0546875 of electricity, power consumption will reduce from 10328.09765625 to 8862.04296875",Turn off AC in room 109
