date,from_time,power
2018-01-01,00:00:00,10610.7421875
2018-01-01,01:00:00,10336.734375
2018-01-01,02:00:00,10531.81640625
2018-01-01,03:00:00,10478.48046875
2018-01-01,04:00:00,10648.6484375
2018-01-01,05:00:00,10521.09375
2018-01-01,06:00:00,10435.109375
2018-01-01,07:00:00,10496.37109375
2018-01-01,08:00:00,10600.89453125
2018-01-01,09:00:00,10635.921875
2018-01-01,10:00:00,10411.42578125
2018-01-01,11:00:00,10397.9921875
2018-01-01,12:00:00,10692.5703125
2018-01-01,13:00:00,10629.74609375
2018-01-01,14:00:00,10497.71484375
2018-01-01,15:00:00,10449.35546875
2018-01-01,16:00:00,10330.38671875
2018-01-01,17:00:00,10316.03125
2018-01-01,18:00:00,10601.0234375
2018-01-01,19:00:00,10570.34765625
2018-01-01,20:00:00,10338.5390625
2018-01-01,21:00:00,10574.140625
2018-01-01,22:00:00,10658.515625
2018-01-01,23:00:00,10656.60546875
2018-01-02,00:00:00,10430.23828125
2018-01-02,01:00:00,10220.20703125
2018-01-02,02:00:00,10557.14453125
2018-01-02,03:00:00,10329.33203125
2018-01-02,04:00:00,10473.1484375
2018-01-02,05:00:00,10386.2421875
2018-01-02,06:00:00,10245.75390625
2018-01-02,07:00:00,10422.4453125
2018-01-02,08:00:00,10487.8359375
2018-01-02,09:00:00,10483.1328125
2018-01-02,10:00:00,10185.78125
2018-01-02,11:00:00,10206.36328125
2018-01-02,12:00:00,10604.5625
2018-01-02,13:00:00,10487.359375
2018-01-02,14:00:00,10212.9375
2018-01-02,15:00:00,10239.2109375
2018-01-02,16:00:00,10268.86328125
2018-01-02,17:00:00,10095.80859375
2018-01-02,18:00:00,10593.91796875
2018-01-02,19:00:00,10536.96875
2018-01-02,20:00:00,10232.34375
2018-01-02,21:00:00,10502.68359375
2018-01-02,22:00:00,10460.79296875
2018-01-02,23:00:00,10559.875
2018-01-03,00:00:00,10505.4609375
2018-01-03,01:00:00,10201.72265625
2018-01-03,02:00:00,10391.1796875
2018-01-03,03:00:00,10318.59375
2018-01-03,04:00:00,10464.3359375
2018-01-03,05:00:00,10338.1015625
2018-01-03,06:00:00,10314.43359375
2018-01-03,07:00:00,10375.88671875
2018-01-03,08:00:00,10497.59765625
2018-01-03,09:00:00,10493.2578125
2018-01-03,10:00:00,10199.12890625
2018-01-03,11:00:00,10234.984375
2018-01-03,12:00:00,10459.046875
2018-01-03,13:00:00,10605.63671875
2018-01-03,14:00:00,10162.640625
2018-01-03,15:00:00,10328.09765625
2018-01-03,16:00:00,10153.0078125
2018-01-03,17:00:00,10127.95703125
2018-01-03,18:00:00,10507.9453125
2018-01-03,19:00:00,10410.6796875
2018-01-03,20:00:00,10201.89453125
2018-01-03,21:00:00,10541.75
2018-01-03,22:00:00,10499.2578125
2018-01-03,23:00:00,10440.1484375
2018-01-04,00:00:00,10498.171875
2018-01-04,01:00:00,10190.984375
2018-01-04,02:00:00,10511.01953125
2018-01-04,03:00:00,10452.2578125
2018-01-04,04:00:00,10587.30078125
2018-01-04,05:00:00,10496.734375
2018-01-04,06:00:00,10372.8203125
2018-01-04,07:00:00,10482.3125
2018-01-04,08:00:00,10511.7734375
2018-01-04,09:00:00,10686.15234375
2018-01-04,10:00:00,10219.140625
2018-01-04,11:00:00,10342.11328125
2018-01-04,12:00:00,10580.7890625
2018-01-04,13:00:00,10539.5234375
2018-01-04,14:00:00,10234.11328125
2018-01-04,15:00:00,10352.87890625
2018-01-04,16:00:00,10257.34375
2018-01-04,17:00:00,10176.0078125
2018-01-04,18:00:00,10569.29296875
2018-01-04,19:00:00,10532.8828125
2018-01-04,20:00:00,10346.4609375
2018-01-04,21:00:00,10652.95703125
2018-01-04,22:00:00,10485.203125
2018-01-04,23:00:00,10519.51171875
2018-01-05,00:00:00,10425.04296875
2018-01-05,01:00:00,10270.6796875
2018-01-05,02:00:00,10369.34375
2018-01-05,03:00:00,10331.35546875
2018-01-05,04:00:00,10492.7109375
2018-01-05,05:00:00,10359.29296875
2018-01-05,06:00:00,10234.078125
2018-01-05,07:00:00,10341.72265625
2018-01-05,08:00:00,10397.359375
2018-01-05,09:00:00,10488.27734375
2018-01-05,10:00:00,10120.4921875
2018-01-05,11:00:00,10249.328125
2018-01-05,12:00:00,10577.3671875
2018-01-05,13:00:00,10603.03515625
2018-01-05,14:00:00,10122.7734375
2018-01-05,15:00:00,10294.78125
2018-01-05,16:00:00,10136.8125
2018-01-05,17:00:00,10137.4921875
2018-01-05,18:00:00,10511.88671875
2018-01-05,19:00:00,10304.33203125
2018-01-05,20:00:00,10283.2109375
2018-01-05,21:00:00,10563.63671875
2018-01-05,22:00:00,10406.12109375
2018-01-05,23:00:00,10516.5859375
2018-01-06,00:00:00,10391.328125
2018-01-06,01:00:00,10331.1640625
2018-01-06,02:00:00,10577.2734375
2018-01-06,03:00:00,10354.53515625
2018-01-06,04:00:00,10549.890625
2018-01-06,05:00:00,10448.74609375
2018-01-06,06:00:00,10435.6484375
2018-01-06,07:00:00,10476.84765625
2018-01-06,08:00:00,10563.53515625
2018-01-06,09:00:00,10666.765625
2018-01-06,10:00:00,10295.16796875
2018-01-06,11:00:00,10347.1328125
2018-01-06,12:00:00,10516.7890625
2018-01-06,13:00:00,10580.20703125
2018-01-06,14:00:00,10381.65625
2018-01-06,15:00:00,10308.87890625
2018-01-06,16:00:00,10232.08203125
2018-01-06,17:00:00,10287.03125
2018-01-06,18:00:00,10501.88671875
2018-01-06,19:00:00,10595.02734375
2018-01-06,20:00:00,10395.375
2018-01-06,21:00:00,10597.15234375
2018-01-06,22:00:00,10623.58203125
2018-01-06,23:00:00,10537.35546875
2018-01-07,00:00:00,10657.48828125
2018-01-07,01:00:00,10549.9375
2018-01-07,02:00:00,10632.984375
2018-01-07,03:00:00,10580.31640625
2018-01-07,04:00:00,10650.77734375
2018-01-07,05:00:00,10614.98046875
2018-01-07,06:00:00,10531.859375
2018-01-07,07:00:00,10663.3125
2018-01-07,08:00:00,10813.75390625
2018-01-07,09:00:00,10718.97265625
2018-01-07,10:00:00,10400.2109375
2018-01-07,11:00:00,10510.39453125
2018-01-07,12:00:00,10719.21875
2018-01-07,13:00:00,10704.00390625
2018-01-07,14:00:00,10452.6953125
2018-01-07,15:00:00,10514.4921875
2018-01-07,16:00:00,10433.390625
2018-01-07,17:00:00,10430.87890625
2018-01-07,18:00:00,10625.80859375
2018-01-07,19:00:00,10760.0859375
2018-01-07,20:00:00,10555.17578125
2018-01-07,21:00:00,10803.73828125
2018-01-07,22:00:00,10809.828125
2018-01-07,23:00:00,10771.10546875
2018-01-08,00:00:00,10566.40625
2018-01-08,01:00:00,10427.4140625
2018-01-08,02:00:00,10654.22265625
2018-01-08,03:00:00,10510.4609375
2018-01-08,04:00:00,10676.171875
2018-01-08,05:00:00,10433.875
2018-01-08,06:00:00,10501.08984375
2018-01-08,07:00:00,10495.4765625
2018-01-08,08:00:00,10623.1953125
2018-01-08,09:00:00,10599.1796875
2018-01-08,10:00:00,10420.65625
2018-01-08,11:00:00,10466.70703125
2018-01-08,12:00:00,10550.35546875
2018-01-08,13:00:00,10660.04296875
2018-01-08,14:00:00,10392.07421875
2018-01-08,15:00:00,10471.23828125
2018-01-08,16:00:00,10266.8515625
2018-01-08,17:00:00,10329.4296875
2018-01-08,18:00:00,10649.14453125
2018-01-08,19:00:00,10607.11328125
2018-01-08,20:00:00,10414.51953125
2018-01-08,21:00:00,10665.12890625
2018-01-08,22:00:00,10559.23046875
2018-01-08,23:00:00,10612.76171875
2018-01-09,00:00:00,9353.6015625
2018-01-09,01:00:00,9123.84765625
2018-01-09,02:00:00,9340.09765625
2018-01-09,03:00:00,9270.0
2018-01-09,04:00:00,9392.4296875
2018-01-09,05:00:00,9267.82421875
2018-01-09,06:00:00,9134.44140625
2018-01-09,07:00:00,9263.12890625
2018-01-09,08:00:00,9390.59765625
2018-01-09,09:00:00,9401.21484375
2018-01-09,10:00:00,9014.44921875
2018-01-09,11:00:00,9293.16796875
2018-01-09,12:00:00,9401.0
2018-01-09,13:00:00,9348.59375
2018-01-09,14:00:00,9114.671875
2018-01-09,15:00:00,9300.62890625
2018-01-09,16:00:00,9099.14453125
2018-01-09,17:00:00,9101.296875
2018-01-09,18:00:00,9364.0
2018-01-09,19:00:00,9362.71875
2018-01-09,20:00:00,9169.05078125
2018-01-09,21:00:00,9371.203125
2018-01-09,22:00:00,9308.73046875
2018-01-09,23:00:00,9373.28125
2018-01-10,00:00:00,1786.58984375
2018-01-10,01:00:00,1577.91015625
2018-01-10,02:00:00,1806.5859375
2018-01-10,03:00:00,1653.19140625
2018-01-10,04:00:00,1936.27734375
2018-01-10,05:00:00,1710.65234375
2018-01-10,06:00:00,1644.82421875
2018-01-10,07:00:00,1703.75390625
2018-01-10,08:00:00,1876.78515625
2018-01-10,09:00:00,1935.1015625
2018-01-10,10:00:00,1577.54296875
2018-01-10,11:00:00,1648.68359375
2018-01-10,12:00:00,1827.28125
2018-01-10,13:00:00,1974.14453125
2018-01-10,14:00:00,1690.87109375
2018-01-10,15:00:00,1641.66015625
2018-01-10,16:00:00,1652.828125
2018-01-10,17:00:00,1540.12890625
2018-01-10,18:00:00,1978.78515625
2018-01-10,19:00:00,1825.44140625
2018-01-10,20:00:00,1638.64453125
2018-01-10,21:00:00,1868.19140625
2018-01-10,22:00:00,1866.5
2018-01-10,23:00:00,1995.66015625
2018-01-11,00:00:00,1852.8046875
2018-01-11,01:00:00,1609.99609375
2018-01-11,02:00:00,1837.5703125
2018-01-11,03:00:00,1733.203125
2018-01-11,04:00:00,1921.0078125
2018-01-11,05:00:00,1773.30859375
2018-01-11,06:00:00,1595.5546875
2018-01-11,07:00:00,1738.70703125
2018-01-11,08:00:00,1753.5390625
2018-01-11,09:00:00,1951.53125
2018-01-11,10:00:00,1607.22265625
2018-01-11,11:00:00,1640.8359375
2018-01-11,12:00:00,1752.55859375
2018-01-11,13:00:00,1901.359375
2018-01-11,14:00:00,1581.44140625
2018-01-11,15:00:00,1675.56640625
2018-01-11,16:00:00,1538.98828125
2018-01-11,17:00:00,1499.71484375
2018-01-11,18:00:00,1929.2578125
