device,building,room,weather_type,date,from_time,to_time,time,no_of_people,time_stayed_mins,power,target
Television,1,101,low cold,2018-01-10,00:00:00,01:00:00,midnight,9,39,217,1
Television,1,101,low cold,2018-01-10,01:00:00,02:00:00,midnight,1,24,288,0
Television,1,101,low cold,2018-01-10,05:00:00,06:00:00,early morning,8,14,280,0
Television,1,101,low cold,2018-01-10,05:00:00,06:00:00,early morning,13,11,289,0
Television,1,101,low cold,2018-01-10,06:00:00,07:00:00,early morning,9,37,229,1
Television,1,101,low cold,2018-01-10,08:00:00,09:00:00,morning,2,53,297,0
Television,1,101,low cold,2018-01-10,10:00:00,11:00:00,morning,6,40,259,0
Television,1,101,low cold,2018-01-10,11:00:00,12:00:00,morning,8,28,203,1
Television,1,101,low cold,2018-01-10,11:00:00,12:00:00,morning,4,53,230,1
Television,1,101,low cold,2018-01-10,12:00:00,13:00:00,afternoon,10,13,237,1
Television,1,101,low cold,2018-01-10,14:00:00,15:00:00,afternoon,5,1,202,1
Television,1,101,low cold,2018-01-10,20:00:00,21:00:00,night,9,5,200,1
Television,1,101,low cold,2018-01-10,22:00:00,23:00:00,night,2,48,290,0
Television,1,101,low cold,2018-01-11,00:00:00,01:00:00,midnight,12,52,212,1
Television,1,101,low cold,2018-01-11,05:00:00,06:00:00,early morning,5,9,238,1
Television,1,101,low cold,2018-01-11,06:00:00,07:00:00,early morning,15,44,246,0
Television,1,101,low cold,2018-01-11,08:00:00,09:00:00,morning,14,4,257,1
Television,1,101,low cold,2018-01-11,13:00:00,14:00:00,afternoon,14,18,266,0
Television,1,101,low cold,2018-01-11,13:00:00,14:00:00,afternoon,6,29,206,1
Television,1,101,low cold,2018-01-11,20:00:00,21:00:00,night,6,35,264,0
Television,1,101,low cold,2018-01-12,01:00:00,02:00:00,midnight,12,38,296,0
Television,1,101,low cold,2018-01-12,02:00:00,03:00:00,midnight,3,12,250,1
Television,1,101,low cold,2018-01-12,02:00:00,03:00:00,midnight,6,22,278,0
Television,1,101,low cold,2018-01-12,02:00:00,03:00:00,midnight,12,30,266,0
Television,1,101,low cold,2018-01-12,03:00:00,04:00:00,midnight,8,34,254,0
Television,1,101,low cold,2018-01-12,07:00:00,08:00:00,morning,14,16,230,1
Television,1,101,low cold,2018-01-12,08:00:00,09:00:00,morning,8,48,255,1
Television,1,101,low cold,2018-01-12,10:00:00,11:00:00,morning,5,23,269,0
