device,building,floor,room,type,power,date,from_time,to_time,no_of_people,time_stayed_mins
Microwave,1,1,106.0,indoor,1506,2018-01-01,00:00:00,01:00:00,5,4
Heater,3,3,302.0,indoor,2398,2018-01-01,01:00:00,02:00:00,0,4
Heater,3,7,,outdoor,1720,2018-01-01,02:00:00,03:00:00,6,7
Heater,2,9,905.0,indoor,2910,2018-01-01,03:00:00,04:00:00,6,11
Heater,3,5,,outdoor,2231,2018-01-01,04:00:00,05:00:00,6,13
Lights,1,10,,outdoor,3963,2018-01-01,05:00:00,06:00:00,7,15
Heater,2,7,706.0,indoor,1519,2018-01-01,06:00:00,07:00:00,0,17
Computer,1,2,207.0,indoor,447,2018-01-01,07:00:00,08:00:00,7,10
Microwave,3,5,,outdoor,1571,2018-01-01,08:00:00,09:00:00,5,12
Television,1,1,,outdoor,243,2018-01-01,09:00:00,10:00:00,5,20
Television,2,5,506.0,indoor,285,2018-01-01,10:00:00,11:00:00,10,6
Refridgerator,3,10,,outdoor,151,2018-01-01,11:00:00,12:00:00,9,11
Microwave,2,7,702.0,indoor,1491,2018-01-01,12:00:00,13:00:00,8,5
AC,2,7,,outdoor,3952,2018-01-01,13:00:00,14:00:00,6,11
Refridgerator,3,5,505.0,indoor,179,2018-01-01,14:00:00,15:00:00,7,28
Heater,2,4,405.0,indoor,2798,2018-01-01,15:00:00,16:00:00,2,15
Lights,3,2,207.0,indoor,1357,2018-01-01,16:00:00,17:00:00,7,30
AC,3,4,,outdoor,4901,2018-01-01,17:00:00,18:00:00,7,6
Refridgerator,3,1,101.0,indoor,276,2018-01-01,18:00:00,19:00:00,10,6
Heater,1,7,703.0,indoor,2562,2018-01-01,19:00:00,20:00:00,8,1
Lights,2,1,104.0,indoor,1055,2018-01-01,20:00:00,21:00:00,5,18
Refridgerator,3,5,504.0,indoor,269,2018-01-01,21:00:00,22:00:00,8,25
AC,3,3,,outdoor,2290,2018-01-01,22:00:00,23:00:00,8,25
Refridgerator,2,10,1006.0,indoor,104,2018-01-01,23:00:00,00:00:00,10,21
Lights,1,2,206.0,indoor,1717,2018-01-02,00:00:00,01:00:00,4,4
Computer,3,6,604.0,indoor,478,2018-01-02,01:00:00,02:00:00,5,30
AC,1,8,806.0,indoor,1038,2018-01-02,02:00:00,03:00:00,6,7
Refridgerator,1,9,901.0,indoor,215,2018-01-02,03:00:00,04:00:00,10,12
Microwave,3,9,,outdoor,1713,2018-01-02,04:00:00,05:00:00,2,6
Refridgerator,1,3,,outdoor,174,2018-01-02,05:00:00,06:00:00,5,12
Refridgerator,2,10,1007.0,indoor,122,2018-01-02,06:00:00,07:00:00,4,25
Computer,3,7,705.0,indoor,354,2018-01-02,07:00:00,08:00:00,2,2
Refridgerator,2,2,,outdoor,100,2018-01-02,08:00:00,09:00:00,9,17
Lights,3,10,1006.0,indoor,1205,2018-01-02,09:00:00,10:00:00,8,22
AC,1,2,204.0,indoor,1932,2018-01-02,10:00:00,11:00:00,7,21
Television,1,6,607.0,indoor,263,2018-01-02,11:00:00,12:00:00,3,25
Microwave,2,10,,outdoor,1984,2018-01-02,12:00:00,13:00:00,10,2
Microwave,2,10,,outdoor,1782,2018-01-02,13:00:00,14:00:00,9,7
Lights,1,4,402.0,indoor,1705,2018-01-02,14:00:00,15:00:00,2,10
Television,1,8,,outdoor,282,2018-01-02,15:00:00,16:00:00,8,2
Heater,3,7,,outdoor,2208,2018-01-02,16:00:00,17:00:00,2,13
Heater,3,10,,outdoor,2878,2018-01-02,17:00:00,18:00:00,8,14
AC,3,5,,outdoor,3020,2018-01-02,18:00:00,19:00:00,10,14
AC,2,8,807.0,indoor,1423,2018-01-02,19:00:00,20:00:00,0,19
AC,3,7,703.0,indoor,1895,2018-01-02,20:00:00,21:00:00,0,6
Lights,3,8,,outdoor,2576,2018-01-02,21:00:00,22:00:00,5,26
Computer,2,3,302.0,indoor,462,2018-01-02,22:00:00,23:00:00,4,24
AC,3,6,,outdoor,2194,2018-01-02,23:00:00,00:00:00,3,6
Television,2,10,1006.0,indoor,265,2018-01-03,00:00:00,01:00:00,10,5
Heater,2,6,605.0,indoor,2497,2018-01-03,01:00:00,02:00:00,6,26
Television,3,9,,outdoor,216,2018-01-03,02:00:00,03:00:00,2,28
Microwave,1,10,1006.0,indoor,1848,2018-01-03,03:00:00,04:00:00,3,9
Heater,1,6,,outdoor,2470,2018-01-03,04:00:00,05:00:00,4,21
Refridgerator,3,10,1003.0,indoor,242,2018-01-03,05:00:00,06:00:00,6,23
