device,room,weather_type,date,from_time,to_time,time,no_of_people,time_stayed_mins,power
AC,100,hot,2018-01-01,00:00:00,01:00:00,midnight,3,21,1528.8984375
AC,100,very cold,2018-01-01,00:00:00,01:00:00,midnight,10,5,1512.6484375
AC,100,cold,2018-01-01,02:00:00,03:00:00,midnight,4,22,1521.0078125
AC,100,cold,2018-01-01,03:00:00,04:00:00,midnight,3,5,1499.71484375
AC,100,very cold,2018-01-01,05:00:00,06:00:00,early morning,2,35,1507.48046875
AC,100,very hot,2018-01-01,06:00:00,07:00:00,early morning,11,2,1513.11328125
AC,100,low hot,2018-01-01,10:00:00,11:00:00,morning,14,47,1514.12109375
AC,100,very cold,2018-01-01,10:00:00,11:00:00,morning,3,22,1482.55859375
AC,100,very cold,2018-01-02,01:00:00,02:00:00,midnight,8,59,1471.2109375
AC,100,very cold,2018-01-02,01:00:00,02:00:00,midnight,10,40,1466.5
AC,100,low cold,2018-01-02,02:00:00,03:00:00,midnight,15,36,1525.51171875
AC,100,very hot,2018-01-02,05:00:00,06:00:00,early morning,13,42,1512.921875
AC,100,very hot,2018-01-02,10:00:00,11:00:00,morning,1,59,1496.47265625
AC,100,low cold,2018-01-02,13:00:00,14:00:00,afternoon,4,16,1526.79296875
AC,100,hot,2018-01-02,16:00:00,17:00:00,evening,13,41,1476.41796875
AC,100,hot,2018-01-02,18:00:00,19:00:00,evening,0,0,1512.1328125
AC,100,cold,2018-01-02,22:00:00,23:00:00,night,2,19,1501.96484375
AC,100,low hot,2018-01-03,03:00:00,04:00:00,midnight,9,29,1513.79296875
AC,100,very hot,2018-01-03,08:00:00,09:00:00,morning,2,36,1534.59765625
AC,100,low hot,2018-01-03,09:00:00,10:00:00,morning,4,14,1535.2109375
AC,100,cold,2018-01-03,10:00:00,11:00:00,morning,3,35,1468.88671875
AC,100,very cold,2018-01-03,10:00:00,11:00:00,morning,15,2,1459.296875
AC,100,cold,2018-01-03,12:00:00,13:00:00,afternoon,7,40,1512.515625
AC,100,very hot,2018-01-03,13:00:00,14:00:00,afternoon,3,13,1532.109375
AC,100,low hot,2018-01-03,14:00:00,15:00:00,afternoon,0,0,1489.6328125
AC,100,very hot,2018-01-03,15:00:00,16:00:00,afternoon,3,53,1516.80859375
AC,100,very cold,2018-01-03,19:00:00,20:00:00,night,5,16,1499.34375
AC,100,low hot,2018-01-03,22:00:00,23:00:00,night,3,28,1534.1171875
AC,100,low hot,2018-01-04,09:00:00,10:00:00,morning,11,11,1541.76171875
AC,100,low hot,2018-01-05,07:00:00,08:00:00,morning,5,57,1522.58203125
AC,100,very hot,2018-01-05,08:00:00,09:00:00,morning,1,53,1532.71484375
AC,100,hot,2018-01-05,09:00:00,10:00:00,morning,10,30,1517.27734375
AC,100,cold,2018-01-05,11:00:00,12:00:00,morning,13,15,1468.140625
AC,100,low cold,2018-01-05,13:00:00,14:00:00,afternoon,1,35,1529.4375
AC,100,cold,2018-01-05,19:00:00,20:00:00,night,5,23,1495.49609375
Computer,100,hot,2018-01-27,15:00:00,16:00:00,afternoon,13,25,411.5234375
Computer,100,low hot,2018-01-27,17:00:00,18:00:00,evening,6,58,410.56640625
Computer,100,low hot,2018-01-28,00:00:00,01:00:00,midnight,5,44,453.31640625
Computer,100,cold,2018-01-28,02:00:00,03:00:00,midnight,4,43,430.09375
Computer,100,very cold,2018-01-28,08:00:00,09:00:00,morning,7,50,432.71875
Computer,100,low hot,2018-01-28,11:00:00,12:00:00,morning,6,28,425.625
Computer,100,very cold,2018-01-28,14:00:00,15:00:00,afternoon,6,23,389.02734375
Computer,100,cold,2018-01-28,15:00:00,16:00:00,afternoon,2,52,412.5234375
Computer,100,hot,2018-01-28,15:00:00,16:00:00,afternoon,11,43,420.65234375
Computer,100,hot,2018-01-28,15:00:00,16:00:00,afternoon,8,49,422.390625
Computer,100,cold,2018-01-28,20:00:00,21:00:00,night,3,2,388.2578125
Computer,100,low cold,2018-01-28,21:00:00,22:00:00,night,7,34,458.390625
Computer,100,low cold,2018-01-28,21:00:00,22:00:00,night,9,45,460.78515625
Computer,100,low cold,2018-01-29,04:00:00,05:00:00,early morning,12,49,451.98828125
Computer,100,cold,2018-01-29,08:00:00,09:00:00,morning,11,41,422.19921875
Computer,100,low cold,2018-01-29,11:00:00,12:00:00,morning,5,5,408.96875
Computer,100,cold,2018-01-29,19:00:00,20:00:00,night,13,26,414.27734375
Computer,100,very hot,2018-01-29,22:00:00,23:00:00,night,1,36,448.359375
Computer,100,hot,2018-01-30,00:00:00,01:00:00,midnight,6,55,441.90625
Computer,100,very cold,2018-01-30,17:00:00,18:00:00,evening,4,32,383.64453125
Computer,100,low cold,2018-01-30,21:00:00,22:00:00,night,13,46,461.76953125
Computer,100,low cold,2018-01-30,22:00:00,23:00:00,night,4,12,449.91015625
Computer,100,low hot,2018-01-30,22:00:00,23:00:00,night,8,36,458.015625
