device,building,floor,room,type,power,date,from_time,to_time,no_of_people,time_stayed_mins,target
AC,1,1,101,indoor,1363,01-01-2018,04:00:00,05:00:00,9,7,1
Computer,1,1,101,indoor,487,27-01-2018,08:00:00,09:00:00,0,0,0
Computer,1,1,101,indoor,464,29-01-2018,05:00:00,06:00:00,1,16,0
Computer,1,1,101,indoor,389,30-01-2018,01:00:00,02:00:00,8,27,1
Computer,1,1,101,indoor,338,30-01-2018,08:00:00,09:00:00,2,4,1
Computer,1,1,101,indoor,384,31-01-2018,08:00:00,09:00:00,5,15,1
Computer,1,1,101,indoor,420,31-01-2018,18:00:00,19:00:00,8,1,0
Heater,1,1,101,indoor,2185,21-01-2018,08:00:00,09:00:00,6,9,1
Heater,1,1,101,indoor,1772,21-01-2018,21:00:00,22:00:00,0,0,1
Heater,1,1,101,indoor,2444,22-01-2018,00:00:00,01:00:00,8,21,0
Lights,1,1,101,indoor,1928,07-01-2018,16:00:00,17:00:00,9,18,0
Lights,1,1,101,indoor,1454,08-01-2018,10:00:00,11:00:00,3,16,1
Lights,1,1,101,indoor,1337,09-01-2018,08:00:00,09:00:00,10,25,1
Lights,1,1,101,indoor,1669,09-01-2018,17:00:00,18:00:00,4,15,0
Microwave,1,1,101,indoor,1578,26-01-2018,01:00:00,02:00:00,4,12,0
Refridgerator,1,1,101,indoor,168,17-01-2018,09:00:00,10:00:00,0,0,1
Television,1,1,101,indoor,280,11-01-2018,12:00:00,13:00:00,4,6,0
Television,1,1,101,indoor,207,13-01-2018,00:00:00,01:00:00,8,2,1
Television,1,1,101,indoor,275,13-01-2018,09:00:00,10:00:00,10,30,0
AC,1,1,102,indoor,1942,03-01-2018,06:00:00,07:00:00,5,29,0
AC,1,1,102,indoor,1236,04-01-2018,19:00:00,20:00:00,4,1,1
Computer,1,1,102,indoor,309,29-01-2018,14:00:00,15:00:00,1,22,1
Heater,1,1,102,indoor,2714,19-01-2018,00:00:00,01:00:00,4,18,0
Lights,1,1,102,indoor,1984,07-01-2018,11:00:00,12:00:00,5,20,0
Microwave,1,1,102,indoor,1216,23-01-2018,06:00:00,07:00:00,10,15,1
Microwave,1,1,102,indoor,1974,23-01-2018,13:00:00,14:00:00,0,0,0
Microwave,1,1,102,indoor,1119,26-01-2018,13:00:00,14:00:00,10,8,1
Refridgerator,1,1,102,indoor,179,15-01-2018,10:00:00,11:00:00,4,17,1
Refridgerator,1,1,102,indoor,107,17-01-2018,11:00:00,12:00:00,6,22,1
Television,1,1,102,indoor,243,09-01-2018,13:00:00,14:00:00,0,0,0
AC,1,1,103,indoor,1325,01-01-2018,10:00:00,11:00:00,3,26,1
AC,1,1,103,indoor,1078,02-01-2018,08:00:00,09:00:00,2,25,1
AC,1,1,103,indoor,1260,04-01-2018,22:00:00,23:00:00,1,21,1
Computer,1,1,103,indoor,423,28-01-2018,10:00:00,11:00:00,5,3,0
Computer,1,1,103,indoor,411,29-01-2018,01:00:00,02:00:00,4,20,1
Computer,1,1,103,indoor,432,30-01-2018,13:00:00,14:00:00,1,12,0
Heater,1,1,103,indoor,2658,23-01-2018,11:00:00,12:00:00,10,24,0
Lights,1,1,103,indoor,1581,05-01-2018,03:00:00,04:00:00,1,13,0
Lights,1,1,103,indoor,1304,05-01-2018,23:00:00,00:00:00,6,30,1
Lights,1,1,103,indoor,1829,08-01-2018,01:00:00,02:00:00,7,6,0
Lights,1,1,103,indoor,1608,08-01-2018,05:00:00,06:00:00,9,24,0
Microwave,1,1,103,indoor,1682,23-01-2018,03:00:00,04:00:00,9,24,0
Microwave,1,1,103,indoor,1657,24-01-2018,22:00:00,23:00:00,7,3,0
Refridgerator,1,1,103,indoor,179,14-01-2018,08:00:00,09:00:00,3,9,0
Refridgerator,1,1,103,indoor,290,17-01-2018,19:00:00,20:00:00,7,19,0
Television,1,1,103,indoor,266,11-01-2018,16:00:00,17:00:00,8,22,0
Television,1,1,103,indoor,202,12-01-2018,15:00:00,16:00:00,8,22,1
Computer,1,1,104,indoor,409,27-01-2018,05:00:00,06:00:00,1,26,1
Computer,1,1,104,indoor,482,28-01-2018,05:00:00,06:00:00,7,24,0
Lights,1,1,104,indoor,1540,08-01-2018,09:00:00,10:00:00,3,5,0
Lights,1,1,104,indoor,1389,08-01-2018,12:00:00,13:00:00,3,10,1
Lights,1,1,104,indoor,1840,08-01-2018,17:00:00,18:00:00,0,0,0
Lights,1,1,104,indoor,1969,09-01-2018,10:00:00,11:00:00,10,6,0
Microwave,1,1,104,indoor,1659,23-01-2018,12:00:00,13:00:00,10,9,0
Microwave,1,1,104,indoor,1291,25-01-2018,02:00:00,03:00:00,6,16,1
Refridgerator,1,1,104,indoor,182,16-01-2018,10:00:00,11:00:00,10,30,1
Television,1,1,104,indoor,267,10-01-2018,01:00:00,02:00:00,1,21,0
AC,1,1,105,indoor,1332,04-01-2018,02:00:00,03:00:00,2,28,1
AC,1,1,105,indoor,1330,04-01-2018,11:00:00,12:00:00,0,0,1
Computer,1,1,105,indoor,445,28-01-2018,16:00:00,17:00:00,2,7,0
Computer,1,1,105,indoor,379,29-01-2018,03:00:00,04:00:00,4,26,1
Computer,1,1,105,indoor,470,30-01-2018,04:00:00,05:00:00,7,17,0
Heater,1,1,105,indoor,1534,21-01-2018,23:00:00,00:00:00,5,24,1
Heater,1,1,105,indoor,2853,22-01-2018,12:00:00,13:00:00,0,0,0
Lights,1,1,105,indoor,1966,07-01-2018,23:00:00,00:00:00,3,29,0
Microwave,1,1,105,indoor,1693,24-01-2018,05:00:00,06:00:00,10,10,1
Television,1,1,105,indoor,299,10-01-2018,03:00:00,04:00:00,6,22,0
Television,1,1,105,indoor,294,11-01-2018,16:00:00,17:00:00,8,10,0
Television,1,1,105,indoor,293,12-01-2018,13:00:00,14:00:00,4,29,0
AC,1,1,106,indoor,1583,01-01-2018,02:00:00,03:00:00,4,28,0
AC,1,1,106,indoor,1517,01-01-2018,19:00:00,20:00:00,7,20,0
Computer,1,1,106,indoor,496,30-01-2018,06:00:00,07:00:00,4,14,0
