device,weather_type,time,priority,order
AC,low cold,early morning,8,52
AC,low cold,morning,8,49
AC,low cold,afternoon,8,48
AC,low cold,evening,8,50
AC,low cold,night,8,51
AC,low cold,midnight,8,53
AC,cold,early morning,11,70
AC,cold,morning,11,67
AC,cold,afternoon,11,66
AC,cold,evening,11,68
AC,cold,night,11,69
AC,cold,midnight,11,71
AC,very cold,early morning,16,100
AC,very cold,morning,16,97
AC,very cold,afternoon,16,96
AC,very cold,evening,16,98
AC,very cold,night,16,99
AC,very cold,midnight,16,101
AC,low hot,early morning,6,41
AC,low hot,morning,6,38
AC,low hot,afternoon,6,37
AC,low hot,evening,6,39
AC,low hot,night,6,40
AC,low hot,midnight,6,42
AC,hot,early morning,4,29
AC,hot,morning,4,26
AC,hot,afternoon,4,25
AC,hot,evening,4,27
AC,hot,night,4,28
AC,hot,midnight,4,30
AC,very hot,early morning,2,17
AC,very hot,morning,2,14
AC,very hot,afternoon,2,13
AC,very hot,evening,2,15
AC,very hot,night,2,16
AC,very hot,midnight,2,18
Heater,low cold,early morning,7,42
Heater,low cold,morning,7,43
Heater,low cold,afternoon,7,44
Heater,low cold,evening,7,45
Heater,low cold,night,7,46
Heater,low cold,midnight,7,47
Heater,cold,early morning,5,31
Heater,cold,morning,5,32
Heater,cold,afternoon,5,33
Heater,cold,evening,5,34
Heater,cold,night,5,35
Heater,cold,midnight,5,36
Heater,very cold,early morning,3,19
Heater,very cold,morning,3,20
Heater,very cold,afternoon,3,21
Heater,very cold,evening,3,22
Heater,very cold,night,3,23
Heater,very cold,midnight,3,24
Heater,low hot,early morning,9,54
Heater,low hot,morning,9,55
Heater,low hot,afternoon,9,56
Heater,low hot,evening,9,57
Heater,low hot,night,9,58
Heater,low hot,midnight,9,59
Heater,hot,early morning,12,72
Heater,hot,morning,12,73
Heater,hot,afternoon,12,74
Heater,hot,evening,12,75
Heater,hot,night,12,76
Heater,hot,midnight,12,77
Heater,very hot,early morning,15,90
Heater,very hot,morning,15,91
Heater,very hot,afternoon,15,92
Heater,very hot,evening,15,93
Heater,very hot,night,15,94
Heater,very hot,midnight,15,95
Lights,low cold,early morning,10,65
Lights,low cold,morning,13,83
Lights,low cold,afternoon,17,107
Lights,low cold,evening,14,89
Lights,low cold,night,1,7
Lights,low cold,midnight,1,8
Lights,cold,early morning,10,64
Lights,cold,morning,13,82
Lights,cold,afternoon,17,106
Lights,cold,evening,14,88
Lights,cold,night,1,9
Lights,cold,midnight,1,10
Lights,very cold,early morning,10,63
Lights,very cold,morning,13,81
Lights,very cold,afternoon,17,105
Lights,very cold,evening,14,87
Lights,very cold,night,1,11
Lights,very cold,midnight,1,12
Lights,low hot,early morning,10,62
Lights,low hot,morning,13,80
Lights,low hot,afternoon,17,104
Lights,low hot,evening,14,86
Lights,low hot,night,1,5
Lights,low hot,midnight,1,6
Lights,hot,early morning,10,61
Lights,hot,morning,13,79
Lights,hot,afternoon,17,103
Lights,hot,evening,14,85
Lights,hot,night,1,3
Lights,hot,midnight,1,4
Lights,very hot,early morning,10,60
Lights,very hot,morning,13,78
Lights,very hot,afternoon,17,102
Lights,very hot,evening,14,84
Lights,very hot,night,1,1
Lights,very hot,midnight,1,2
Television,low cold,early morning,20,200
Television,low cold,morning,20,201
Television,low cold,afternoon,20,202
Television,low cold,evening,20,203
Television,low cold,night,20,204
Television,low cold,midnight,20,205
Television,cold,early morning,20,206
Television,cold,morning,20,207
Television,cold,afternoon,20,208
Television,cold,evening,20,209
Television,cold,night,20,210
Television,cold,midnight,20,211
Television,very cold,early morning,20,212
Television,very cold,morning,20,213
Television,very cold,afternoon,20,214
Television,very cold,evening,20,215
Television,very cold,night,20,216
Television,very cold,midnight,20,217
Television,low hot,early morning,20,218
Television,low hot,morning,20,219
Television,low hot,afternoon,20,220
Television,low hot,evening,20,221
Television,low hot,night,20,222
Television,low hot,midnight,20,223
Television,hot,early morning,20,224
Television,hot,morning,20,225
Television,hot,afternoon,20,226
Television,hot,evening,20,227
Television,hot,night,20,228
Television,hot,midnight,20,229
Television,very hot,early morning,20,230
Television,very hot,morning,20,231
Television,very hot,afternoon,20,232
Television,very hot,evening,20,233
Television,very hot,night,20,234
Television,very hot,midnight,20,235
Refridgerator,low cold,early morning,20,236
Refridgerator,low cold,morning,20,237
Refridgerator,low cold,afternoon,20,238
Refridgerator,low cold,evening,20,239
Refridgerator,low cold,night,20,240
Refridgerator,low cold,midnight,20,241
Refridgerator,cold,early morning,20,242
Refridgerator,cold,morning,20,243
Refridgerator,cold,afternoon,20,244
Refridgerator,cold,evening,20,245
Refridgerator,cold,night,20,246
Refridgerator,cold,midnight,20,247
Refridgerator,very cold,early morning,20,248
Refridgerator,very cold,morning,20,249
Refridgerator,very cold,afternoon,20,250
Refridgerator,very cold,evening,20,251
Refridgerator,very cold,night,20,252
Refridgerator,very cold,midnight,20,253
Refridgerator,low hot,early morning,20,254
Refridgerator,low hot,morning,20,255
Refridgerator,low hot,afternoon,20,256
Refridgerator,low hot,evening,20,257
Refridgerator,low hot,night,20,258
Refridgerator,low hot,midnight,20,259
Refridgerator,hot,early morning,20,260
Refridgerator,hot,morning,20,261
Refridgerator,hot,afternoon,20,262
Refridgerator,hot,evening,20,263
Refridgerator,hot,night,20,264
Refridgerator,hot,midnight,20,265
Refridgerator,very hot,early morning,20,266
Refridgerator,very hot,morning,20,267
Refridgerator,very hot,afternoon,20,268
Refridgerator,very hot,evening,20,269
Refridgerator,very hot,night,20,270
Refridgerator,very hot,midnight,20,271
Microwave,low cold,early morning,20,272
Microwave,low cold,morning,20,273
Microwave,low cold,afternoon,20,274
Microwave,low cold,evening,20,275
Microwave,low cold,night,20,276
Microwave,low cold,midnight,20,277
Microwave,cold,early morning,20,278
Microwave,cold,morning,20,279
Microwave,cold,afternoon,20,280
Microwave,cold,evening,20,281
Microwave,cold,night,20,282
Microwave,cold,midnight,20,283
Microwave,very cold,early morning,20,284
Microwave,very cold,morning,20,285
Microwave,very cold,afternoon,20,286
Microwave,very cold,evening,20,287
Microwave,very cold,night,20,288
Microwave,very cold,midnight,20,289
Microwave,low hot,early morning,20,290
Microwave,low hot,morning,20,291
Microwave,low hot,afternoon,20,292
Microwave,low hot,evening,20,293
Microwave,low hot,night,20,294
Microwave,low hot,midnight,20,295
Microwave,hot,early morning,20,296
Microwave,hot,morning,20,297
Microwave,hot,afternoon,20,298
Microwave,hot,evening,20,299
Microwave,hot,night,20,300
Microwave,hot,midnight,20,301
Microwave,very hot,early morning,20,302
Microwave,very hot,morning,20,303
Microwave,very hot,afternoon,20,304
Microwave,very hot,evening,20,305
Microwave,very hot,night,20,306
Microwave,very hot,midnight,20,307
Computer,low cold,early morning,20,308
Computer,low cold,morning,20,309
Computer,low cold,afternoon,20,310
Computer,low cold,evening,20,311
