device,room,weather_type,date,from_time,to_time,time,no_of_people,time_stayed_mins,power,message,action,savings
AC,100,hot,2018-01-01,00:00:00,01:00:00,midnight,3,21,1550.0,"Moving 10 people from room 119 to room 105 saves 1188.0 of electricity, power consumption will reduce from 10507.0 to 9319.0",Turn off AC in room 119,1188.0
AC,100,very cold,2018-01-01,00:00:00,01:00:00,midnight,10,5,1533.0,"Moving 10 people from room 119 to room 105 saves 1188.0 of electricity, power consumption will reduce from 10507.0 to 9319.0",Turn off AC in room 119,1188.0
AC,100,cold,2018-01-01,02:00:00,03:00:00,midnight,4,22,1745.0,"Moving 15 people from room 102 to room 105 saves 1150.0 of electricity, power consumption will reduce from 10314.0 to 9164.0",Turn off AC in room 102,1150.0
AC,100,cold,2018-01-01,03:00:00,04:00:00,midnight,3,5,1766.0,"Moving 7 people from room 110 to room 100 saves 1766.0 of electricity, power consumption will reduce from 11159.0 to 9393.0",Turn off AC in room 110,1766.0
AC,100,very cold,2018-01-01,05:00:00,06:00:00,early morning,2,35,1542.0,"Moving 2 people from room 100 to room 110 saves 1542.0 of electricity, power consumption will reduce from 10367.0 to 8825.0",Turn off AC in room 100,1542.0
AC,100,very hot,2018-01-01,06:00:00,07:00:00,early morning,11,2,1533.0,"Moving 6 people from room 101 to room 111 saves 1067.0 of electricity, power consumption will reduce from 10031.0 to 8964.0",Turn off AC in room 101,1067.0
AC,100,low hot,2018-01-01,10:00:00,11:00:00,morning,14,47,1499.0,"Moving 2 people from room 103 to room 100 saves 1356.0 of electricity, power consumption will reduce from 10801.0 to 9445.0",Turn off AC in room 103,1356.0
AC,100,very cold,2018-01-01,10:00:00,11:00:00,morning,3,22,1813.0,"Moving 2 people from room 103 to room 100 saves 1356.0 of electricity, power consumption will reduce from 10801.0 to 9445.0",Turn off AC in room 103,1356.0
AC,100,very cold,2018-01-02,01:00:00,02:00:00,midnight,8,59,1225.0,None,Turn off AC in room 119,1413.0
AC,100,very cold,2018-01-02,01:00:00,02:00:00,midnight,10,40,1074.0,None,Turn off AC in room 119,1413.0
AC,100,low cold,2018-01-02,02:00:00,03:00:00,midnight,15,36,1749.0,"Moving 6 people from room 112 to room 107 saves 1614.0 of electricity, power consumption will reduce from 11634.0 to 10020.0",Turn off AC in room 112,1614.0
AC,100,very hot,2018-01-02,05:00:00,06:00:00,early morning,13,42,1295.0,"Moving 3 people from room 114 to room 118 saves 1230.0 of electricity, power consumption will reduce from 9686.0 to 8456.0",Turn off AC in room 114,1230.0
AC,100,very hot,2018-01-02,10:00:00,11:00:00,morning,1,59,1893.0,"Moving 8 people from room 102 to room 105 saves 1273.0 of electricity, power consumption will reduce from 11255.0 to 9982.0",Turn off AC in room 102,1273.0
AC,100,low cold,2018-01-02,13:00:00,14:00:00,afternoon,4,16,1155.0,"Moving 1 people from room 113 to room 104 saves 1052.0 of electricity, power consumption will reduce from 9916.0 to 8864.0",Turn off AC in room 113,1052.0
AC,100,hot,2018-01-02,16:00:00,17:00:00,evening,13,41,1666.0,"Moving 13 people from room 117 to room 101 saves 1084.0 of electricity, power consumption will reduce from 8625.0 to 7541.0",Turn off AC in room 117,1084.0
AC,100,hot,2018-01-02,18:00:00,19:00:00,evening,0,0,1880.0,"Moving 13 people from room 108 to room 114 saves 1905.0 of electricity, power consumption will reduce from 11820.0 to 9915.0",Turn off AC in room 108,1905.0
AC,100,cold,2018-01-02,22:00:00,23:00:00,night,2,19,1203.0,None,Turn off AC in room 111,1674.0
AC,100,low hot,2018-01-03,03:00:00,04:00:00,midnight,9,29,1463.0,"Moving 6 people from room 109 to room 110 saves 1425.0 of electricity, power consumption will reduce from 9883.0 to 8458.0",Turn off AC in room 109,1425.0
AC,100,very hot,2018-01-03,08:00:00,09:00:00,morning,2,36,1615.0,"Moving 2 people from room 108 to room 108 saves 1986.0 of electricity, power consumption will reduce from 10855.0 to 8869.0",Turn off AC in room 108,1986.0
AC,100,low hot,2018-01-03,09:00:00,10:00:00,morning,4,14,1985.0,"Moving 6 people from room 107 to room 110 saves 1919.0 of electricity, power consumption will reduce from 11982.0 to 10063.0",Turn off AC in room 107,1919.0
AC,100,cold,2018-01-03,10:00:00,11:00:00,morning,3,35,1854.0,"Moving 15 people from room 108 to room 100 saves 1862.0 of electricity, power consumption will reduce from 11418.0 to 9556.0",Turn off AC in room 108,1862.0
AC,100,very cold,2018-01-03,10:00:00,11:00:00,morning,15,2,1862.0,"Moving 15 people from room 108 to room 100 saves 1862.0 of electricity, power consumption will reduce from 11418.0 to 9556.0",Turn off AC in room 108,1862.0
AC,100,cold,2018-01-03,12:00:00,13:00:00,afternoon,7,40,1955.0,"Moving 2 people from room 103 to room 102 saves 1977.0 of electricity, power consumption will reduce from 11477.0 to 9500.0",Turn off AC in room 103,1977.0
AC,100,very hot,2018-01-03,13:00:00,14:00:00,afternoon,3,13,1155.0,"Moving 2 people from room 107 to room 115 saves 1856.0 of electricity, power consumption will reduce from 10977.0 to 9121.0",Turn off AC in room 107,1856.0
AC,100,low hot,2018-01-03,14:00:00,15:00:00,afternoon,0,0,1880.0,None,Turn off AC in room 119,1875.0
AC,100,very hot,2018-01-03,15:00:00,16:00:00,afternoon,3,53,1188.0,"Moving 11 people from room 109 to room 118 saves 1486.0 of electricity, power consumption will reduce from 10033.0 to 8547.0",Turn off AC in room 109,1486.0
AC,100,very cold,2018-01-03,19:00:00,20:00:00,night,5,16,1242.0,"Moving 5 people from room 100 to room 104 saves 1242.0 of electricity, power consumption will reduce from 8867.0 to 7625.0",Turn off AC in room 100,1242.0
AC,100,low hot,2018-01-03,22:00:00,23:00:00,night,3,28,1877.0,"Moving 11 people from room 111 to room 117 saves 1511.0 of electricity, power consumption will reduce from 11666.0 to 10155.0",Turn off AC in room 111,1511.0
AC,100,low hot,2018-01-04,09:00:00,10:00:00,morning,11,11,1798.0,"Moving 1 people from room 110 to room 100 saves 1416.0 of electricity, power consumption will reduce from 11708.0 to 10292.0",Turn off AC in room 110,1416.0
AC,100,low hot,2018-01-05,07:00:00,08:00:00,morning,5,57,1238.0,"Moving 13 people from room 116 to room 115 saves 1933.0 of electricity, power consumption will reduce from 10514.0 to 8581.0",Turn off Lights in room 116,1933.0
AC,100,very hot,2018-01-05,08:00:00,09:00:00,morning,1,53,1789.0,"Moving 6 people from room 105 to room 104 saves 1979.0 of electricity, power consumption will reduce from 11691.0 to 9712.0",Turn off Lights in room 105,1979.0
AC,100,hot,2018-01-05,09:00:00,10:00:00,morning,10,30,1486.0,"Moving 1 people from room 110 to room 103 saves 1416.0 of electricity, power consumption will reduce from 10409.0 to 8993.0",Turn off AC in room 110,1416.0
AC,100,cold,2018-01-05,11:00:00,12:00:00,morning,13,15,1574.0,"Moving 8 people from room 114 to room 115 saves 1916.0 of electricity, power consumption will reduce from 10603.0 to 8687.0",Turn off AC in room 114,1916.0
AC,100,low cold,2018-01-05,13:00:00,14:00:00,afternoon,1,35,1370.0,"Moving 9 people from room 107 to room 112 saves 1811.0 of electricity, power consumption will reduce from 9968.0 to 8157.0",Turn off Lights in room 107,1811.0
AC,100,cold,2018-01-05,19:00:00,20:00:00,night,5,23,1880.0,"Moving 5 people from room 100 to room 102 saves 1880.0 of electricity, power consumption will reduce from 11528.0 to 9648.0",Turn off AC in room 100,1880.0
Computer,100,hot,2018-01-27,15:00:00,16:00:00,afternoon,13,25,447.0,"Moving 13 people from room 100 to room 109 saves 447.0 of electricity, power consumption will reduce from 7235.0 to 6788.0",Turn off Computer in room 100,447.0
Computer,100,low hot,2018-01-27,17:00:00,18:00:00,evening,6,58,365.0,"Moving 3 people from room 106 to room 109 saves 398.0 of electricity, power consumption will reduce from 7737.0 to 7339.0",Turn off Computer in room 106,398.0
Computer,100,low hot,2018-01-28,00:00:00,01:00:00,midnight,5,44,365.0,"Moving 5 people from room 118 to room 104 saves 310.0 of electricity, power consumption will reduce from 2883.0 to 2573.0",Turn off Computer in room 118,310.0
Computer,100,cold,2018-01-28,02:00:00,03:00:00,midnight,4,43,458.0,"Moving 3 people from room 104 to room 117 saves 379.0 of electricity, power consumption will reduce from 2754.0 to 2375.0",Turn off Computer in room 104,379.0
Computer,100,very cold,2018-01-28,08:00:00,09:00:00,morning,7,50,458.0,"Moving 9 people from room 117 to room 115 saves 380.0 of electricity, power consumption will reduce from 2945.0 to 2565.0",Turn off Computer in room 117,380.0
Computer,100,low hot,2018-01-28,11:00:00,12:00:00,morning,6,28,365.0,"Moving 3 people from room 114 to room 113 saves 498.0 of electricity, power consumption will reduce from 2976.0 to 2478.0",Turn off Computer in room 114,498.0
Computer,100,very cold,2018-01-28,14:00:00,15:00:00,afternoon,6,23,499.0,None,Turn off Computer in room 102,420.0
Computer,100,cold,2018-01-28,15:00:00,16:00:00,afternoon,2,52,458.0,"Moving 8 people from room 100 to room 100 saves 458.0 of electricity, power consumption will reduce from 3036.0 to 2578.0",Turn off Computer in room 100,458.0
Computer,100,hot,2018-01-28,15:00:00,16:00:00,afternoon,11,43,458.0,"Moving 8 people from room 100 to room 100 saves 458.0 of electricity, power consumption will reduce from 3036.0 to 2578.0",Turn off Computer in room 100,458.0
Computer,100,hot,2018-01-28,15:00:00,16:00:00,afternoon,8,49,458.0,"Moving 8 people from room 100 to room 100 saves 458.0 of electricity, power consumption will reduce from 3036.0 to 2578.0",Turn off Computer in room 100,458.0
Computer,100,cold,2018-01-28,20:00:00,21:00:00,night,3,2,417.0,"Moving 15 people from room 101 to room 115 saves 397.0 of electricity, power consumption will reduce from 2763.0 to 2366.0",Turn off Computer in room 101,397.0
Computer,100,low cold,2018-01-28,21:00:00,22:00:00,night,7,34,458.0,"Moving 7 people from room 104 to room 109 saves 365.0 of electricity, power consumption will reduce from 3101.0 to 2736.0",Turn off Computer in room 104,365.0
Computer,100,low cold,2018-01-28,21:00:00,22:00:00,night,9,45,458.0,"Moving 7 people from room 104 to room 109 saves 365.0 of electricity, power consumption will reduce from 3101.0 to 2736.0",Turn off Computer in room 104,365.0
Computer,100,low cold,2018-01-29,04:00:00,05:00:00,early morning,12,49,448.0,"Moving 1 people from room 117 to room 103 saves 307.0 of electricity, power consumption will reduce from 2843.0 to 2536.0",Turn off Computer in room 117,307.0
Computer,100,cold,2018-01-29,08:00:00,09:00:00,morning,11,41,448.0,"Moving 7 people from room 113 to room 115 saves 419.0 of electricity, power consumption will reduce from 2706.0 to 2287.0",Turn off Computer in room 113,419.0
Computer,100,low cold,2018-01-29,11:00:00,12:00:00,morning,5,5,439.0,"Moving 3 people from room 107 to room 118 saves 469.0 of electricity, power consumption will reduce from 2897.0 to 2428.0",Turn off Computer in room 107,469.0
Computer,100,cold,2018-01-29,19:00:00,20:00:00,night,13,26,448.0,"Moving 4 people from room 110 to room 109 saves 314.0 of electricity, power consumption will reduce from 2715.0 to 2401.0",Turn off Computer in room 110,314.0
Computer,100,very hot,2018-01-29,22:00:00,23:00:00,night,1,36,340.0,"Moving 1 people from room 100 to room 107 saves 340.0 of electricity, power consumption will reduce from 2610.0 to 2270.0",Turn off Computer in room 100,340.0
Computer,100,hot,2018-01-30,00:00:00,01:00:00,midnight,6,55,426.0,None,Turn off Computer in room 106,356.0
Computer,100,very cold,2018-01-30,17:00:00,18:00:00,evening,4,32,448.0,"Moving 2 people from room 106 to room 108 saves 433.0 of electricity, power consumption will reduce from 3082.0 to 2649.0",Turn off Computer in room 106,433.0
Computer,100,low cold,2018-01-30,21:00:00,22:00:00,night,13,46,448.0,"Moving 4 people from room 115 to room 103 saves 459.0 of electricity, power consumption will reduce from 2797.0 to 2338.0",Turn off Computer in room 115,459.0
Computer,100,low cold,2018-01-30,22:00:00,23:00:00,night,4,12,428.0,"Moving 6 people from room 114 to room 100 saves 312.0 of electricity, power consumption will reduce from 2743.0 to 2431.0",Turn off Computer in room 114,312.0
Computer,100,low hot,2018-01-30,22:00:00,23:00:00,night,8,36,365.0,"Moving 6 people from room 114 to room 100 saves 312.0 of electricity, power consumption will reduce from 2743.0 to 2431.0",Turn off Computer in room 114,312.0
Computer,100,very hot,2018-01-31,05:00:00,06:00:00,early morning,1,56,378.0,"Moving 1 people from room 100 to room 113 saves 378.0 of electricity, power consumption will reduce from 2960.0 to 2582.0",Turn off Computer in room 100,378.0
Computer,100,low cold,2018-01-31,14:00:00,15:00:00,afternoon,9,18,447.0,"Moving 3 people from room 111 to room 105 saves 463.0 of electricity, power consumption will reduce from 2872.0 to 2409.0",Turn off Computer in room 111,463.0
Computer,100,very hot,2018-01-31,16:00:00,17:00:00,evening,0,0,314.0,None,Turn off Computer in room 100,314.0
Computer,100,low cold,2018-01-31,20:00:00,21:00:00,night,4,54,309.0,"Moving 3 people from room 116 to room 104 saves 483.0 of electricity, power consumption will reduce from 2845.0 to 2362.0",Turn off Computer in room 116,483.0
Computer,100,very hot,2018-01-31,21:00:00,22:00:00,night,6,9,448.0,"Moving 6 people from room 100 to room 119 saves 448.0 of electricity, power consumption will reduce from 2672.0 to 2224.0",Turn off Computer in room 100,448.0
Computer,100,low cold,2018-01-31,22:00:00,23:00:00,night,4,13,428.0,"Moving 9 people from room 118 to room 101 saves 344.0 of electricity, power consumption will reduce from 2884.0 to 2540.0",Turn off Computer in room 118,344.0
Computer,100,cold,2018-01-31,22:00:00,23:00:00,night,2,43,428.0,"Moving 9 people from room 118 to room 101 saves 344.0 of electricity, power consumption will reduce from 2884.0 to 2540.0",Turn off Computer in room 118,344.0
Heater,100,cold,2018-01-18,15:00:00,16:00:00,afternoon,7,48,2991.0,"Moving 5 people from room 117 to room 112 saves 171.0 of electricity, power consumption will reduce from 6610.0 to 6439.0",Turn off Refridgerator in room 117,171.0
Heater,100,very cold,2018-01-19,04:00:00,05:00:00,early morning,9,16,2798.0,"Moving 8 people from room 102 to room 101 saves 2938.0 of electricity, power consumption will reduce from 16949.0 to 14011.0",Turn off Heater in room 102,2938.0
Heater,100,very cold,2018-01-19,06:00:00,07:00:00,early morning,14,34,2105.0,"Moving 1 people from room 107 to room 113 saves 1615.0 of electricity, power consumption will reduce from 14137.0 to 12522.0",Turn off Heater in room 107,1615.0
Heater,100,hot,2018-01-19,09:00:00,10:00:00,morning,9,2,2791.0,"Moving 9 people from room 100 to room 107 saves 2791.0 of electricity, power consumption will reduce from 16730.0 to 13939.0",Turn off Heater in room 100,2791.0
