device,room,weather_type,date,from_time,to_time,time,no_of_people,time_stayed_mins,power
AC,100,hot,2018-01-01,00:00:00,01:00:00,midnight,3,21,1554.55
AC,100,very cold,2018-01-01,00:00:00,01:00:00,midnight,10,5,1505.5333333333333
AC,100,cold,2018-01-01,02:00:00,03:00:00,midnight,4,22,1597.54
AC,100,cold,2018-01-01,03:00:00,04:00:00,midnight,3,5,1387.11
AC,100,very cold,2018-01-01,05:00:00,06:00:00,early morning,2,35,1509.7566666666667
AC,100,very hot,2018-01-01,06:00:00,07:00:00,early morning,11,2,1514.0033333333333
AC,100,low hot,2018-01-01,10:00:00,11:00:00,morning,14,47,1432.0533333333333
AC,100,very cold,2018-01-01,10:00:00,11:00:00,morning,3,22,1651.3733333333332
AC,100,very cold,2018-01-02,01:00:00,02:00:00,midnight,8,59,1344.2066666666667
AC,100,very cold,2018-01-02,01:00:00,02:00:00,midnight,10,40,1509.5533333333333
AC,100,low cold,2018-01-02,02:00:00,03:00:00,midnight,15,36,1567.9233333333334
AC,100,very hot,2018-01-02,05:00:00,06:00:00,early morning,13,42,1447.8766666666668
AC,100,very hot,2018-01-02,10:00:00,11:00:00,morning,1,59,1427.77
AC,100,low cold,2018-01-02,13:00:00,14:00:00,afternoon,4,16,1463.16
AC,100,hot,2018-01-02,16:00:00,17:00:00,evening,13,41,1496.6933333333334
AC,100,hot,2018-01-02,18:00:00,19:00:00,evening,0,0,1543.03
AC,100,cold,2018-01-02,22:00:00,23:00:00,night,2,19,1535.51
AC,100,low hot,2018-01-03,03:00:00,04:00:00,midnight,9,29,1521.14
AC,100,very hot,2018-01-03,08:00:00,09:00:00,morning,2,36,1572.4133333333334
AC,100,low hot,2018-01-03,09:00:00,10:00:00,morning,4,14,1538.24
AC,100,cold,2018-01-03,10:00:00,11:00:00,morning,3,35,1530.7066666666667
AC,100,very cold,2018-01-03,10:00:00,11:00:00,morning,15,2,1514.6233333333332
AC,100,cold,2018-01-03,12:00:00,13:00:00,afternoon,7,40,1664.7133333333334
AC,100,very hot,2018-01-03,13:00:00,14:00:00,afternoon,3,13,1433.1933333333334
AC,100,low hot,2018-01-03,14:00:00,15:00:00,afternoon,0,0,1507.4933333333333
AC,100,very hot,2018-01-03,15:00:00,16:00:00,afternoon,3,53,1426.5166666666667
AC,100,very cold,2018-01-03,19:00:00,20:00:00,night,5,16,1557.81
AC,100,low hot,2018-01-03,22:00:00,23:00:00,night,3,28,1642.8066666666666
AC,100,low hot,2018-01-04,09:00:00,10:00:00,morning,11,11,1537.0
AC,100,low hot,2018-01-05,07:00:00,08:00:00,morning,5,57,1545.36
AC,100,very hot,2018-01-05,08:00:00,09:00:00,morning,1,53,1509.15
AC,100,hot,2018-01-05,09:00:00,10:00:00,morning,10,30,1489.91
AC,100,cold,2018-01-05,11:00:00,12:00:00,morning,13,15,1458.04
AC,100,low cold,2018-01-05,13:00:00,14:00:00,afternoon,1,35,1532.1433333333334
AC,100,cold,2018-01-05,19:00:00,20:00:00,night,5,23,1539.5166666666667
Computer,100,hot,2018-01-27,15:00:00,16:00:00,afternoon,13,25,390.1933333333333
Computer,100,low hot,2018-01-27,17:00:00,18:00:00,evening,6,58,397.29333333333335
Computer,100,low hot,2018-01-28,00:00:00,01:00:00,midnight,5,44,400.62333333333333
Computer,100,cold,2018-01-28,02:00:00,03:00:00,midnight,4,43,410.64
Computer,100,very cold,2018-01-28,08:00:00,09:00:00,morning,7,50,406.36
Computer,100,low hot,2018-01-28,11:00:00,12:00:00,morning,6,28,414.81333333333333
Computer,100,very cold,2018-01-28,14:00:00,15:00:00,afternoon,6,23,414.5466666666667
Computer,100,cold,2018-01-28,15:00:00,16:00:00,afternoon,2,52,395.04333333333335
Computer,100,hot,2018-01-28,15:00:00,16:00:00,afternoon,11,43,400.74666666666667
Computer,100,hot,2018-01-28,15:00:00,16:00:00,afternoon,8,49,402.18666666666667
Computer,100,cold,2018-01-28,20:00:00,21:00:00,night,3,2,423.81333333333333
Computer,100,low cold,2018-01-28,21:00:00,22:00:00,night,7,34,415.43
Computer,100,low cold,2018-01-28,21:00:00,22:00:00,night,9,45,415.89
Computer,100,low cold,2018-01-29,04:00:00,05:00:00,early morning,12,49,407.44
Computer,100,cold,2018-01-29,08:00:00,09:00:00,morning,11,41,400.5966666666667
Computer,100,low cold,2018-01-29,11:00:00,12:00:00,morning,5,5,400.06333333333333
Computer,100,cold,2018-01-29,19:00:00,20:00:00,night,13,26,393.85333333333335
Computer,100,very hot,2018-01-29,22:00:00,23:00:00,night,1,36,391.12333333333333
Computer,100,hot,2018-01-30,00:00:00,01:00:00,midnight,6,55,430.22333333333336
Computer,100,very cold,2018-01-30,17:00:00,18:00:00,evening,4,32,409.7133333333333
Computer,100,low cold,2018-01-30,21:00:00,22:00:00,night,13,46,398.75
Computer,100,low cold,2018-01-30,22:00:00,23:00:00,night,4,12,397.2266666666667
Computer,100,low hot,2018-01-30,22:00:00,23:00:00,night,8,36,401.07
Computer,100,very hot,2018-01-31,05:00:00,06:00:00,early morning,1,56,415.47
Computer,100,low cold,2018-01-31,14:00:00,15:00:00,afternoon,9,18,370.75666666666666
Computer,100,very hot,2018-01-31,16:00:00,17:00:00,evening,0,0,383.11
Computer,100,low cold,2018-01-31,20:00:00,21:00:00,night,4,54,416.16
Computer,100,very hot,2018-01-31,21:00:00,22:00:00,night,6,9,409.24
Computer,100,low cold,2018-01-31,22:00:00,23:00:00,night,4,13,407.19666666666666
Computer,100,cold,2018-01-31,22:00:00,23:00:00,night,2,43,403.92333333333335
Heater,100,cold,2018-01-18,15:00:00,16:00:00,afternoon,7,48,2264.12
Heater,100,very cold,2018-01-19,04:00:00,05:00:00,early morning,9,16,2282.7566666666667
Heater,100,very cold,2018-01-19,06:00:00,07:00:00,early morning,14,34,2088.266666666667
Heater,100,hot,2018-01-19,09:00:00,10:00:00,morning,9,2,2446.8233333333333
Heater,100,hot,2018-01-19,13:00:00,14:00:00,afternoon,5,31,2268.1
Heater,100,cold,2018-01-19,13:00:00,14:00:00,afternoon,4,29,2292.86
Heater,100,cold,2018-01-19,15:00:00,16:00:00,afternoon,9,23,2297.056666666667
Heater,100,very cold,2018-01-19,16:00:00,17:00:00,evening,8,33,2287.65
Heater,100,cold,2018-01-19,17:00:00,18:00:00,evening,1,44,1999.16
Heater,100,cold,2018-01-19,19:00:00,20:00:00,night,11,28,2274.16
Heater,100,low hot,2018-01-19,20:00:00,21:00:00,night,8,10,2212.2433333333333
Heater,100,low hot,2018-01-19,21:00:00,22:00:00,night,8,20,2091.8966666666665
Heater,100,very hot,2018-01-19,22:00:00,23:00:00,night,3,50,2213.733333333333
Heater,100,very hot,2018-01-20,00:00:00,01:00:00,midnight,15,1,2442.0433333333335
Heater,100,very cold,2018-01-20,01:00:00,02:00:00,midnight,7,29,2236.5266666666666
Heater,100,very hot,2018-01-20,05:00:00,06:00:00,early morning,13,7,2241.4533333333334
Heater,100,very cold,2018-01-20,07:00:00,08:00:00,morning,15,4,2144.016666666667
Heater,100,cold,2018-01-20,08:00:00,09:00:00,morning,13,26,2222.15
Heater,100,very cold,2018-01-20,10:00:00,11:00:00,morning,1,9,2172.42
Heater,100,very cold,2018-01-20,15:00:00,16:00:00,afternoon,1,18,2058.2966666666666
Heater,100,low cold,2018-01-20,16:00:00,17:00:00,evening,15,54,2364.153333333333
Heater,100,very cold,2018-01-20,18:00:00,19:00:00,evening,4,9,2263.4333333333334
Heater,100,low hot,2018-01-21,01:00:00,02:00:00,midnight,1,43,2022.6666666666667
Heater,100,low hot,2018-01-21,03:00:00,04:00:00,midnight,2,3,2128.6366666666668
Heater,100,cold,2018-01-21,03:00:00,04:00:00,midnight,11,29,2250.0666666666666
Heater,100,cold,2018-01-21,14:00:00,15:00:00,afternoon,8,37,2088.8866666666668
Heater,100,cold,2018-01-21,15:00:00,16:00:00,afternoon,10,19,2288.97
Heater,100,very hot,2018-01-21,16:00:00,17:00:00,evening,9,49,2345.7166666666667
Heater,100,low cold,2018-01-21,16:00:00,17:00:00,evening,6,58,2135.943333333333
Heater,100,low hot,2018-01-21,17:00:00,18:00:00,evening,13,26,2145.8233333333333
Heater,100,hot,2018-01-21,19:00:00,20:00:00,night,0,0,2160.5833333333335
Heater,100,low cold,2018-01-22,02:00:00,03:00:00,midnight,0,0,2211.09
Heater,100,low hot,2018-01-22,04:00:00,05:00:00,early morning,4,16,1981.7366666666667
Heater,100,low cold,2018-01-22,05:00:00,06:00:00,early morning,6,8,2224.38
Heater,100,cold,2018-01-22,05:00:00,06:00:00,early morning,1,31,2345.173333333333
Heater,100,low cold,2018-01-22,05:00:00,06:00:00,early morning,2,1,2047.6133333333332
Heater,100,very hot,2018-01-22,08:00:00,09:00:00,morning,11,8,2358.0033333333336
Heater,100,cold,2018-01-22,09:00:00,10:00:00,morning,13,7,2373.89
Heater,100,low cold,2018-01-22,15:00:00,16:00:00,afternoon,2,49,1982.1966666666667
Heater,100,hot,2018-01-22,15:00:00,16:00:00,afternoon,3,28,2184.8766666666666
Heater,100,cold,2018-01-22,16:00:00,17:00:00,evening,8,39,2168.2766666666666
Heater,100,cold,2018-01-22,19:00:00,20:00:00,night,0,0,2152.8166666666666
Heater,100,very cold,2018-01-22,19:00:00,20:00:00,night,3,40,2069.2766666666666
Heater,100,very hot,2018-01-22,21:00:00,22:00:00,night,1,13,2114.0733333333333
Heater,100,low hot,2018-01-23,04:00:00,05:00:00,early morning,2,38,1948.9266666666667
Heater,100,very cold,2018-01-23,14:00:00,15:00:00,afternoon,7,9,2091.79
Lights,100,very hot,2018-01-05,01:00:00,02:00:00,midnight,11,35,1461.2733333333333
Lights,100,very hot,2018-01-05,03:00:00,04:00:00,midnight,15,35,1565.7366666666667
Lights,100,low cold,2018-01-05,05:00:00,06:00:00,early morning,4,11,1553.55
Lights,100,very hot,2018-01-05,06:00:00,07:00:00,early morning,2,39,1485.0266666666666
Lights,100,low hot,2018-01-05,17:00:00,18:00:00,evening,11,8,1577.71
Lights,100,very cold,2018-01-05,17:00:00,18:00:00,evening,7,23,1434.05
Lights,100,very hot,2018-01-05,20:00:00,21:00:00,night,11,35,1590.6233333333332
Lights,100,low hot,2018-01-06,06:00:00,07:00:00,early morning,4,38,1556.9466666666667
Lights,100,very cold,2018-01-06,10:00:00,11:00:00,morning,10,7,1600.6
Lights,100,low hot,2018-01-06,13:00:00,14:00:00,afternoon,0,0,1561.4066666666668
Lights,100,very hot,2018-01-06,14:00:00,15:00:00,afternoon,1,53,1409.4
Lights,100,cold,2018-01-06,16:00:00,17:00:00,evening,8,36,1503.43
Lights,100,cold,2018-01-06,17:00:00,18:00:00,evening,7,42,1523.79
Lights,100,hot,2018-01-06,17:00:00,18:00:00,evening,4,38,1488.8466666666666
Lights,100,cold,2018-01-06,19:00:00,20:00:00,night,15,40,1522.96
Lights,100,low hot,2018-01-06,19:00:00,20:00:00,night,3,2,1462.0333333333333
Lights,100,cold,2018-01-06,22:00:00,23:00:00,night,9,57,1532.4433333333334
Lights,100,very hot,2018-01-06,23:00:00,00:00:00,midnight,5,21,1572.5566666666666
Lights,100,hot,2018-01-07,01:00:00,02:00:00,midnight,7,54,1496.8333333333333
Lights,100,very cold,2018-01-07,02:00:00,03:00:00,midnight,0,0,1638.4966666666667
Lights,100,very hot,2018-01-07,05:00:00,06:00:00,early morning,2,19,1588.67
Lights,100,low cold,2018-01-07,05:00:00,06:00:00,early morning,0,0,1588.5966666666666
Lights,100,hot,2018-01-07,09:00:00,10:00:00,morning,0,0,1472.93
Lights,100,cold,2018-01-07,09:00:00,10:00:00,morning,14,16,1490.7233333333334
Lights,100,very cold,2018-01-07,14:00:00,15:00:00,afternoon,6,36,1511.9233333333334
Lights,100,cold,2018-01-07,20:00:00,21:00:00,night,5,25,1504.02
Lights,100,low hot,2018-01-07,20:00:00,21:00:00,night,15,42,1561.7866666666666
Lights,100,cold,2018-01-08,06:00:00,07:00:00,early morning,15,56,1554.3066666666666
Lights,100,very cold,2018-01-08,06:00:00,07:00:00,early morning,2,45,1505.4933333333333
Lights,100,low hot,2018-01-08,06:00:00,07:00:00,early morning,7,1,1601.6633333333334
Lights,100,low cold,2018-01-08,08:00:00,09:00:00,morning,8,50,1623.8766666666668
Lights,100,very hot,2018-01-08,10:00:00,11:00:00,morning,7,20,1502.3733333333332
Lights,100,hot,2018-01-08,14:00:00,15:00:00,afternoon,10,28,1544.7266666666667
Lights,100,very hot,2018-01-08,19:00:00,20:00:00,night,0,0,1544.5766666666666
Lights,100,very cold,2018-01-08,20:00:00,21:00:00,night,13,2,1397.5166666666667
Lights,100,cold,2018-01-08,21:00:00,22:00:00,night,7,56,1627.65
Lights,100,very cold,2018-01-08,21:00:00,22:00:00,night,10,28,1647.0166666666667
Lights,100,cold,2018-01-09,04:00:00,05:00:00,early morning,0,0,1332.1
Lights,100,very hot,2018-01-09,07:00:00,08:00:00,morning,11,11,1481.2733333333333
