device,room,weather_type,date,from_time,to_time,time,no_of_people,time_stayed_mins,power,message,action,savings
AC,100,cold,2018-01-01,04:00:00,05:00:00,early morning,6,24,1880.0,"Moving 6 people from room 100 to room 102 saves 1880.0 of electricity, power consumption will reduce from 11606.0 to 9726.0",Turn off AC in room 100,1880.0
AC,100,low hot,2018-01-01,05:00:00,06:00:00,early morning,0,0,1880.0,"Moving 3 people from room 105 to room 105 saves 1962.0 of electricity, power consumption will reduce from 10835.0 to 8873.0",Turn off AC in room 105,1962.0
AC,100,low hot,2018-01-01,07:00:00,08:00:00,morning,13,38,1304.0,"Moving 13 people from room 116 to room 106 saves 1676.0 of electricity, power consumption will reduce from 9838.0 to 8162.0",Turn off AC in room 116,1676.0
AC,100,cold,2018-01-01,09:00:00,10:00:00,morning,14,7,1766.0,"Moving 13 people from room 108 to room 100 saves 1111.0 of electricity, power consumption will reduce from 10584.0 to 9473.0",Turn off AC in room 108,1111.0
AC,100,low hot,2018-01-01,09:00:00,10:00:00,morning,10,26,1702.0,"Moving 13 people from room 108 to room 100 saves 1111.0 of electricity, power consumption will reduce from 10584.0 to 9473.0",Turn off AC in room 108,1111.0
AC,100,very cold,2018-01-01,12:00:00,13:00:00,afternoon,5,24,1501.0,"Moving 5 people from room 100 to room 117 saves 1501.0 of electricity, power consumption will reduce from 10751.0 to 9250.0",Turn off AC in room 100,1501.0
AC,100,low hot,2018-01-02,02:00:00,03:00:00,midnight,8,33,1363.0,"Moving 12 people from room 104 to room 118 saves 1418.0 of electricity, power consumption will reduce from 11046.0 to 9628.0",Turn off AC in room 104,1418.0
AC,100,very cold,2018-01-02,03:00:00,04:00:00,midnight,9,23,1813.0,"Moving 9 people from room 100 to room 116 saves 1813.0 of electricity, power consumption will reduce from 10664.0 to 8851.0",Turn off AC in room 100,1813.0
AC,100,cold,2018-01-02,06:00:00,07:00:00,early morning,5,55,1729.0,"Moving 5 people from room 100 to room 116 saves 1729.0 of electricity, power consumption will reduce from 10073.0 to 8344.0",Turn off AC in room 100,1729.0
AC,100,hot,2018-01-02,21:00:00,22:00:00,night,2,6,1880.0,"Moving 4 people from room 119 to room 115 saves 1939.0 of electricity, power consumption will reduce from 12108.0 to 10169.0",Turn off AC in room 119,1939.0
AC,100,cold,2018-01-03,01:00:00,02:00:00,midnight,9,10,1117.0,"Moving 9 people from room 100 to room 106 saves 1117.0 of electricity, power consumption will reduce from 7835.0 to 6718.0",Turn off AC in room 100,1117.0
AC,100,low cold,2018-01-03,01:00:00,02:00:00,midnight,12,53,1041.0,"Moving 9 people from room 100 to room 106 saves 1117.0 of electricity, power consumption will reduce from 7835.0 to 6718.0",Turn off AC in room 100,1117.0
AC,100,low cold,2018-01-03,02:00:00,03:00:00,midnight,15,38,1337.0,None,Turn off AC in room 105,1635.0
AC,100,hot,2018-01-03,04:00:00,05:00:00,early morning,7,31,1048.0,"Moving 5 people from room 105 to room 110 saves 1429.0 of electricity, power consumption will reduce from 9164.0 to 7735.0",Turn off AC in room 105,1429.0
AC,100,hot,2018-01-03,13:00:00,14:00:00,afternoon,4,32,1836.0,"Moving 14 people from room 116 to room 102 saves 1578.0 of electricity, power consumption will reduce from 11271.0 to 9693.0",Turn off AC in room 116,1578.0
AC,100,hot,2018-01-03,14:00:00,15:00:00,afternoon,0,0,1880.0,"Moving 11 people from room 118 to room 104 saves 1520.0 of electricity, power consumption will reduce from 10766.0 to 9246.0",Turn off AC in room 118,1520.0
AC,100,very hot,2018-01-03,18:00:00,19:00:00,evening,13,18,1329.0,"Moving 12 people from room 110 to room 111 saves 1540.0 of electricity, power consumption will reduce from 10590.0 to 9050.0",Turn off AC in room 110,1540.0
AC,100,low hot,2018-01-03,20:00:00,21:00:00,night,15,32,1702.0,"Moving 3 people from room 106 to room 105 saves 1321.0 of electricity, power consumption will reduce from 9871.0 to 8550.0",Turn off AC in room 106,1321.0
