device,room,weather_type,date,from_time,to_time,time,no_of_people,time_stayed_mins,power,message,action,savings
AC,100,cold,2018-01-01,04:00:00,05:00:00,early morning,6,24,1527.609375,"Moving 6 people from room 100 to room 102 saves 1527.609375 of electricity, power consumption will reduce from 10656.828125 to 9129.21875",Turn off AC in room 100,1527.609375
AC,100,low hot,2018-01-01,05:00:00,06:00:00,early morning,0,0,1526.19140625,"Moving 3 people from room 105 to room 105 saves 1466.67578125 of electricity, power consumption will reduce from 10396.66015625 to 8929.984375",Turn off AC in room 105,1466.67578125
AC,100,low hot,2018-01-01,07:00:00,08:00:00,morning,13,38,1540.515625,"Moving 13 people from room 116 to room 106 saves 1462.3828125 of electricity, power consumption will reduce from 10490.66015625 to 9028.27734375",Turn off AC in room 116,1462.3828125
AC,100,cold,2018-01-01,09:00:00,10:00:00,morning,14,7,1523.48046875,"Moving 13 people from room 108 to room 100 saves 1508.234375 of electricity, power consumption will reduce from 10642.7265625 to 9134.4921875",Turn off AC in room 108,1508.234375
AC,100,low hot,2018-01-01,09:00:00,10:00:00,morning,10,26,1554.6796875,"Moving 13 people from room 108 to room 100 saves 1508.234375 of electricity, power consumption will reduce from 10642.7265625 to 9134.4921875",Turn off AC in room 108,1508.234375
AC,100,very cold,2018-01-01,12:00:00,13:00:00,afternoon,5,24,1525.6875,"Moving 5 people from room 100 to room 117 saves 1525.6875 of electricity, power consumption will reduce from 10572.3515625 to 9046.6640625",Turn off AC in room 100,1525.6875
AC,100,low hot,2018-01-02,02:00:00,03:00:00,midnight,8,33,1528.37109375,"Moving 12 people from room 104 to room 118 saves 1461.1953125 of electricity, power consumption will reduce from 10445.97265625 to 8984.77734375",Turn off AC in room 104,1461.1953125
AC,100,very cold,2018-01-02,03:00:00,04:00:00,midnight,9,23,1481.73828125,"Moving 9 people from room 100 to room 116 saves 1481.73828125 of electricity, power consumption will reduce from 10248.828125 to 8767.08984375",Turn off AC in room 100,1481.73828125
AC,100,cold,2018-01-02,06:00:00,07:00:00,early morning,5,55,1479.6796875,"Moving 5 people from room 100 to room 116 saves 1479.6796875 of electricity, power consumption will reduce from 10322.59375 to 8842.9140625",Turn off AC in room 100,1479.6796875
AC,100,hot,2018-01-02,21:00:00,22:00:00,night,2,6,1514.83203125,"Moving 4 people from room 119 to room 115 saves 1495.36328125 of electricity, power consumption will reduce from 10553.75390625 to 9058.390625",Turn off AC in room 119,1495.36328125
AC,100,cold,2018-01-03,01:00:00,02:00:00,midnight,9,10,1463.83984375,"Moving 9 people from room 100 to room 106 saves 1463.83984375 of electricity, power consumption will reduce from 10300.984375 to 8837.14453125",Turn off AC in room 100,1463.83984375
AC,100,low cold,2018-01-03,01:00:00,02:00:00,midnight,12,53,1497.16796875,"Moving 9 people from room 100 to room 106 saves 1463.83984375 of electricity, power consumption will reduce from 10300.984375 to 8837.14453125",Turn off AC in room 100,1463.83984375
AC,100,low cold,2018-01-03,02:00:00,03:00:00,midnight,15,38,1529.828125,None,Turn off AC in room 105,1465.08203125
AC,100,hot,2018-01-03,04:00:00,05:00:00,early morning,7,31,1523.109375,"Moving 5 people from room 105 to room 110 saves 1473.03125 of electricity, power consumption will reduce from 10428.34765625 to 8955.31640625",Turn off AC in room 105,1473.03125
AC,100,hot,2018-01-03,13:00:00,14:00:00,afternoon,4,32,1522.18359375,"Moving 14 people from room 116 to room 102 saves 1468.03125 of electricity, power consumption will reduce from 10486.078125 to 9018.046875",Turn off AC in room 116,1468.03125
AC,100,hot,2018-01-03,14:00:00,15:00:00,afternoon,0,0,1474.55859375,"Moving 11 people from room 118 to room 104 saves 1449.26953125 of electricity, power consumption will reduce from 10175.1953125 to 8725.92578125",Turn off AC in room 118,1449.26953125
AC,100,very hot,2018-01-03,18:00:00,19:00:00,evening,13,18,1533.19140625,"Moving 12 people from room 110 to room 111 saves 1477.67578125 of electricity, power consumption will reduce from 10553.71484375 to 9076.0390625",Turn off AC in room 110,1477.67578125
AC,100,low hot,2018-01-03,20:00:00,21:00:00,night,15,32,1499.01953125,"Moving 3 people from room 106 to room 105 saves 1444.3984375 of electricity, power consumption will reduce from 10315.99609375 to 8871.59765625",Turn off AC in room 106,1444.3984375
AC,100,low hot,2018-01-03,23:00:00,00:00:00,midnight,2,27,1532.57421875,None,Turn off AC in room 111,1481.48046875
AC,100,hot,2018-01-04,03:00:00,04:00:00,midnight,11,28,1506.27734375,"Moving 5 people from room 101 to room 115 saves 1498.15234375 of electricity, power consumption will reduce from 10401.3828125 to 8903.23046875",Turn off AC in room 101,1498.15234375
AC,100,very cold,2018-01-04,04:00:00,05:00:00,early morning,12,33,1519.34375,"Moving 12 people from room 100 to room 114 saves 1519.34375 of electricity, power consumption will reduce from 10628.34765625 to 9109.00390625",Turn off AC in room 100,1519.34375
AC,100,very cold,2018-01-04,14:00:00,15:00:00,afternoon,1,56,1484.00390625,"Moving 1 people from room 100 to room 115 saves 1484.00390625 of electricity, power consumption will reduce from 10280.48046875 to 8796.4765625",Turn off AC in room 100,1484.00390625
AC,100,hot,2018-01-05,03:00:00,04:00:00,midnight,6,19,1490.65625,"Moving 6 people from room 117 to room 100 saves 1482.9609375 of electricity, power consumption will reduce from 10367.59765625 to 8884.63671875",Turn off AC in room 117,1482.9609375
AC,100,low cold,2018-01-05,17:00:00,18:00:00,evening,0,0,1471.890625,"Moving 6 people from room 116 to room 105 saves 1412.7890625 of electricity, power consumption will reduce from 10094.20703125 to 8681.41796875",Turn off AC in room 116,1412.7890625
AC,100,low hot,2018-01-05,17:00:00,18:00:00,evening,12,22,1478.6875,"Moving 6 people from room 116 to room 105 saves 1412.7890625 of electricity, power consumption will reduce from 10094.20703125 to 8681.41796875",Turn off AC in room 116,1412.7890625
Computer,100,cold,2018-01-27,00:00:00,01:00:00,midnight,7,48,423.109375,"Moving 8 people from room 104 to room 107 saves 396.4453125 of electricity, power consumption will reduce from 7467.96875 to 7071.5234375",Turn off Computer in room 104,396.4453125
Computer,100,low cold,2018-01-27,18:00:00,19:00:00,evening,3,29,451.4765625,"Moving 14 people from room 110 to room 115 saves 419.703125 of electricity, power consumption will reduce from 7492.9921875 to 7073.2890625",Turn off Computer in room 110,419.703125
