date,from_time,power
2018-01-01,00:00:00,10664.91796875
2018-01-01,01:00:00,10281.2578125
2018-01-01,02:00:00,10589.25
2018-01-01,03:00:00,10533.703125
2018-01-01,04:00:00,10622.9453125
2018-01-01,05:00:00,10496.62109375
2018-01-01,06:00:00,10412.65625
2018-01-01,07:00:00,10548.62109375
2018-01-01,08:00:00,10634.19921875
2018-01-01,09:00:00,10627.2109375
2018-01-01,10:00:00,10414.57421875
2018-01-01,11:00:00,10424.8359375
2018-01-01,12:00:00,10512.671875
2018-01-01,13:00:00,10641.1484375
2018-01-01,14:00:00,10334.38671875
2018-01-01,15:00:00,10519.10546875
2018-01-01,16:00:00,10335.7734375
2018-01-01,17:00:00,10215.51171875
2018-01-01,18:00:00,10649.265625
2018-01-01,19:00:00,10709.265625
2018-01-01,20:00:00,10503.03125
2018-01-01,21:00:00,10714.58984375
2018-01-01,22:00:00,10570.390625
2018-01-01,23:00:00,10697.43359375
2018-01-02,00:00:00,10408.0625
2018-01-02,01:00:00,10171.19921875
2018-01-02,02:00:00,10445.79296875
2018-01-02,03:00:00,10471.91796875
2018-01-02,04:00:00,10519.88671875
2018-01-02,05:00:00,10332.25390625
2018-01-02,06:00:00,10331.6015625
2018-01-02,07:00:00,10338.59765625
2018-01-02,08:00:00,10461.62109375
2018-01-02,09:00:00,10485.46875
2018-01-02,10:00:00,10171.875
2018-01-02,11:00:00,10227.2734375
2018-01-02,12:00:00,10443.65234375
2018-01-02,13:00:00,10525.890625
2018-01-02,14:00:00,10221.1640625
2018-01-02,15:00:00,10267.91796875
2018-01-02,16:00:00,10137.87890625
2018-01-02,17:00:00,10230.703125
2018-01-02,18:00:00,10397.36328125
2018-01-02,19:00:00,10405.23046875
2018-01-02,20:00:00,10283.20703125
2018-01-02,21:00:00,10487.2890625
2018-01-02,22:00:00,10424.12109375
2018-01-02,23:00:00,10433.52734375
2018-01-03,00:00:00,10468.59375
2018-01-03,01:00:00,10220.88671875
2018-01-03,02:00:00,10504.32421875
2018-01-03,03:00:00,10340.47265625
2018-01-03,04:00:00,10535.64453125
2018-01-03,05:00:00,10322.3203125
2018-01-03,06:00:00,10289.890625
2018-01-03,07:00:00,10428.52734375
2018-01-03,08:00:00,10459.71484375
2018-01-03,09:00:00,10502.03515625
2018-01-03,10:00:00,10148.33203125
2018-01-03,11:00:00,10256.234375
2018-01-03,12:00:00,10599.94140625
2018-01-03,13:00:00,10520.52734375
2018-01-03,14:00:00,10253.98828125
2018-01-03,15:00:00,10292.515625
