device,room,weather_type,date,from_time,to_time,time,no_of_people,time_stayed_mins,power,message,action,savings
AC,100,cold,2018-01-01,01:00:00,02:00:00,midnight,12,42,1442.8733333333332,"Moving 3 people from room 110 to room 114 saves 1508.4866666666658 of electricity, power consumption will reduce from 10090.846666666665 to 8582.359999999999",Turn off AC in room 110,1508.4866666666658
AC,100,low hot,2018-01-01,02:00:00,03:00:00,midnight,13,16,1481.8633333333332,"Moving 2 people from room 104 to room 119 saves 1703.9933333333356 of electricity, power consumption will reduce from 10963.470000000001 to 9259.476666666666",Turn off AC in room 104,1703.9933333333356
AC,100,very hot,2018-01-01,07:00:00,08:00:00,morning,7,57,1493.936666666667,"Moving 11 people from room 108 to room 113 saves 1437.7666666666646 of electricity, power consumption will reduce from 10454.16 to 9016.393333333335",Turn off AC in room 108,1437.7666666666646
AC,100,low cold,2018-01-01,10:00:00,11:00:00,morning,11,33,1514.8666666666666,"Moving 10 people from room 103 to room 111 saves 1504.826666666666 of electricity, power consumption will reduce from 10821.583333333334 to 9316.756666666668",Turn off AC in room 103,1504.826666666666
AC,100,low cold,2018-01-01,11:00:00,12:00:00,morning,12,50,1403.4133333333334,"Moving 1 people from room 109 to room 105 saves 1328.3899999999994 of electricity, power consumption will reduce from 10054.36 to 8725.970000000001",Turn off AC in room 109,1328.3899999999994
AC,100,hot,2018-01-01,12:00:00,13:00:00,afternoon,9,24,1509.926666666667,None,Turn off AC in room 119,1440.6399999999994
AC,100,low cold,2018-01-01,13:00:00,14:00:00,afternoon,3,53,1559.07,"Moving 1 people from room 101 to room 100 saves 1534.2199999999993 of electricity, power consumption will reduce from 10590.486666666666 to 9056.266666666666",Turn off AC in room 101,1534.2199999999993
AC,100,hot,2018-01-01,18:00:00,19:00:00,evening,3,11,1419.45,None,Turn off AC in room 119,1456.1000000000004
AC,100,hot,2018-01-01,23:00:00,00:00:00,midnight,8,45,1624.4333333333334,"Moving 8 people from room 116 to room 101 saves 1426.8433333333323 of electricity, power consumption will reduce from 10654.203333333333 to 9227.36",Turn off AC in room 116,1426.8433333333323
AC,100,cold,2018-01-02,00:00:00,01:00:00,midnight,2,17,1497.07,"Moving 6 people from room 117 to room 117 saves 1430.043333333333 of electricity, power consumption will reduce from 10370.01 to 8939.966666666667",Turn off AC in room 117,1430.043333333333
AC,100,very cold,2018-01-02,01:00:00,02:00:00,midnight,13,40,1493.18,"Moving 3 people from room 110 to room 100 saves 1481.6200000000008 of electricity, power consumption will reduce from 10476.503333333334 to 8994.883333333333",Turn off AC in room 110,1481.6200000000008
AC,100,low cold,2018-01-02,03:00:00,04:00:00,midnight,10,12,1493.736666666667,"Moving 2 people from room 106 to room 110 saves 1582.840000000002 of electricity, power consumption will reduce from 10781.130000000001 to 9198.289999999999",Turn off AC in room 106,1582.840000000002
AC,100,hot,2018-01-02,07:00:00,08:00:00,morning,10,46,1624.62,"Moving 8 people from room 116 to room 102 saves 1468.0200000000004 of electricity, power consumption will reduce from 10948.796666666667 to 9480.776666666667",Turn off AC in room 116,1468.0200000000004
AC,100,very hot,2018-01-02,07:00:00,08:00:00,morning,7,34,1586.29,"Moving 8 people from room 116 to room 102 saves 1468.0200000000004 of electricity, power consumption will reduce from 10948.796666666667 to 9480.776666666667",Turn off AC in room 116,1468.0200000000004
AC,100,low hot,2018-01-02,08:00:00,09:00:00,morning,4,40,1642.1733333333334,"Moving 11 people from room 119 to room 118 saves 1496.7833333333328 of electricity, power consumption will reduce from 10805.436666666665 to 9308.653333333332",Turn off AC in room 119,1496.7833333333328
AC,100,very hot,2018-01-02,09:00:00,10:00:00,morning,9,26,1551.48,"Moving 11 people from room 114 to room 113 saves 1404.789999999999 of electricity, power consumption will reduce from 10201.926666666666 to 8797.136666666667",Turn off AC in room 114,1404.789999999999
AC,100,low hot,2018-01-02,11:00:00,12:00:00,morning,14,59,1434.5266666666666,"Moving 6 people from room 100 to room 114 saves 1483.0699999999997 of electricity, power consumption will reduce from 10138.846666666666 to 8655.776666666667",Turn off AC in room 100,1483.0699999999997
AC,100,very cold,2018-01-02,11:00:00,12:00:00,morning,6,18,1483.07,"Moving 6 people from room 100 to room 114 saves 1483.0699999999997 of electricity, power consumption will reduce from 10138.846666666666 to 8655.776666666667",Turn off AC in room 100,1483.0699999999997
AC,100,low hot,2018-01-02,14:00:00,15:00:00,afternoon,2,37,1485.72,"Moving 3 people from room 102 to room 100 saves 1425.090000000002 of electricity, power consumption will reduce from 10053.560000000001 to 8628.47",Turn off AC in room 102,1425.090000000002
AC,100,low cold,2018-01-02,16:00:00,17:00:00,evening,7,55,1510.053333333333,"Moving 3 people from room 115 to room 100 saves 1406.6066666666648 of electricity, power consumption will reduce from 10050.723333333332 to 8644.116666666667",Turn off AC in room 115,1406.6066666666648
AC,100,cold,2018-01-02,17:00:00,18:00:00,evening,4,3,1341.6566666666668,"Moving 8 people from room 105 to room 107 saves 1458.7399999999998 of electricity, power consumption will reduce from 9912.946666666667 to 8454.206666666667",Turn off AC in room 105,1458.7399999999998
AC,100,very cold,2018-01-02,20:00:00,21:00:00,night,13,39,1485.39,"Moving 13 people from room 100 to room 109 saves 1485.3900000000012 of electricity, power consumption will reduce from 10504.403333333334 to 9019.013333333332",Turn off AC in room 100,1485.3900000000012
AC,100,low cold,2018-01-02,21:00:00,22:00:00,night,15,24,1577.226666666667,"Moving 5 people from room 101 to room 109 saves 1530.9566666666651 of electricity, power consumption will reduce from 10957.273333333333 to 9426.316666666668",Turn off AC in room 101,1530.9566666666651
AC,100,low cold,2018-01-02,22:00:00,23:00:00,night,2,52,1614.436666666667,"Moving 2 people from room 101 to room 100 saves 1495.6133333333346 of electricity, power consumption will reduce from 10471.543333333335 to 8975.93",Turn off AC in room 101,1495.6133333333346
AC,100,cold,2018-01-03,06:00:00,07:00:00,early morning,0,0,1364.0,None,Turn off AC in room 113,1550.4766666666674
AC,100,low cold,2018-01-03,13:00:00,14:00:00,afternoon,13,57,1438.156666666667,"Moving 6 people from room 110 to room 100 saves 1388.6166666666686 of electricity, power consumption will reduce from 10421.506666666668 to 9032.89",Turn off AC in room 110,1388.6166666666686
AC,100,cold,2018-01-03,13:00:00,14:00:00,afternoon,6,25,1557.6033333333332,"Moving 6 people from room 110 to room 100 saves 1388.6166666666686 of electricity, power consumption will reduce from 10421.506666666668 to 9032.89",Turn off AC in room 110,1388.6166666666686
AC,100,hot,2018-01-04,08:00:00,09:00:00,morning,3,4,1537.8733333333332,"Moving 8 people from room 114 to room 108 saves 1462.546666666669 of electricity, power consumption will reduce from 10693.753333333334 to 9231.206666666665",Turn off AC in room 114,1462.546666666669
AC,100,very cold,2018-01-04,11:00:00,12:00:00,morning,9,35,1373.01,"Moving 5 people from room 119 to room 100 saves 1570.203333333331 of electricity, power consumption will reduce from 10647.73 to 9077.526666666668",Turn off AC in room 119,1570.203333333331
AC,100,very hot,2018-01-04,16:00:00,17:00:00,evening,2,21,1407.833333333333,"Moving 7 people from room 110 to room 105 saves 1304.0400000000009 of electricity, power consumption will reduce from 9828.733333333334 to 8524.693333333333",Turn off AC in room 110,1304.0400000000009
AC,100,low cold,2018-01-04,23:00:00,00:00:00,midnight,1,45,1404.5666666666666,"Moving 13 people from room 109 to room 100 saves 1478.3933333333334 of electricity, power consumption will reduce from 10466.463333333333 to 8988.07",Turn off AC in room 109,1478.3933333333334
AC,100,cold,2018-01-05,02:00:00,03:00:00,midnight,14,40,1475.71,"Moving 6 people from room 106 to room 100 saves 1457.7733333333326 of electricity, power consumption will reduce from 10187.733333333332 to 8729.96",Turn off AC in room 106,1457.7733333333326
AC,100,very cold,2018-01-05,09:00:00,10:00:00,morning,4,26,1603.16,"Moving 4 people from room 100 to room 110 saves 1603.1600000000017 of electricity, power consumption will reduce from 10527.896666666667 to 8924.736666666666",Turn off AC in room 100,1603.1600000000017
AC,100,very cold,2018-01-05,18:00:00,19:00:00,evening,10,6,1502.476666666667,"Moving 9 people from room 114 to room 100 saves 1506.3599999999988 of electricity, power consumption will reduce from 10417.673333333332 to 8911.313333333334",Turn off AC in room 114,1506.3599999999988
Computer,100,cold,2018-01-27,01:00:00,02:00:00,midnight,3,42,394.26333333333326,"Moving 5 people from room 118 to room 114 saves 385.52666666666664 of electricity, power consumption will reduce from 6968.8533333333335 to 6583.326666666667",Turn off Computer in room 118,385.52666666666664
Computer,100,cold,2018-01-27,02:00:00,03:00:00,midnight,8,40,403.5033333333333,"Moving 6 people from room 109 to room 100 saves 415.15999999999985 of electricity, power consumption will reduce from 7574.849999999999 to 7159.69",Turn off Computer in room 109,415.15999999999985
Computer,100,low hot,2018-01-27,22:00:00,23:00:00,night,0,0,395.6533333333333,"Moving 4 people from room 107 to room 100 saves 406.7399999999998 of electricity, power consumption will reduce from 7574.326666666667 to 7167.586666666667",Turn off Computer in room 107,406.7399999999998
Computer,100,hot,2018-01-28,00:00:00,01:00:00,midnight,3,56,413.26333333333326,"Moving 11 people from room 117 to room 100 saves 425.09000000000015 of electricity, power consumption will reduce from 2925.3066666666664 to 2500.2166666666662",Turn off Computer in room 117,425.09000000000015
Computer,100,very cold,2018-01-28,00:00:00,01:00:00,midnight,1,1,415.5633333333333,"Moving 11 people from room 117 to room 100 saves 425.09000000000015 of electricity, power consumption will reduce from 2925.3066666666664 to 2500.2166666666662",Turn off Computer in room 117,425.09000000000015
Computer,100,very hot,2018-01-28,03:00:00,04:00:00,midnight,7,52,418.3033333333333,"Moving 7 people from room 100 to room 102 saves 418.3033333333333 of electricity, power consumption will reduce from 2753.46 to 2335.1566666666668",Turn off Computer in room 100,418.3033333333333
Computer,100,very cold,2018-01-28,04:00:00,05:00:00,early morning,5,36,406.29333333333335,None,Turn off Computer in room 108,404.81333333333305
Computer,100,cold,2018-01-28,05:00:00,06:00:00,early morning,5,18,418.42,"Moving 1 people from room 106 to room 110 saves 408.74000000000024 of electricity, power consumption will reduce from 2915.426666666667 to 2506.686666666667",Turn off Computer in room 106,408.74000000000024
Computer,100,low hot,2018-01-28,09:00:00,10:00:00,morning,6,58,399.64,"Moving 15 people from room 104 to room 100 saves 387.4499999999998 of electricity, power consumption will reduce from 2809.8733333333334 to 2422.4233333333336",Turn off Computer in room 104,387.4499999999998
Computer,100,hot,2018-01-28,11:00:00,12:00:00,morning,4,17,437.76666666666665,"Moving 4 people from room 100 to room 103 saves 437.7666666666664 of electricity, power consumption will reduce from 2960.036666666667 to 2522.2700000000004",Turn off Computer in room 100,437.7666666666664
Computer,100,hot,2018-01-28,12:00:00,13:00:00,afternoon,11,6,441.0,None,Turn off Computer in room 113,415.4866666666667
Computer,100,very cold,2018-01-28,13:00:00,14:00:00,afternoon,3,52,399.95333333333326,"Moving 12 people from room 116 to room 109 saves 407.90999999999985 of electricity, power consumption will reduce from 2798.2666666666664 to 2390.3566666666666",Turn off Computer in room 116,407.90999999999985
Computer,100,very cold,2018-01-28,16:00:00,17:00:00,evening,7,29,408.95,"Moving 2 people from room 117 to room 117 saves 407.9166666666665 of electricity, power consumption will reduce from 2850.8399999999997 to 2442.923333333333",Turn off Computer in room 117,407.9166666666665
Computer,100,very hot,2018-01-28,20:00:00,21:00:00,night,0,0,428.85333333333335,None,Turn off Computer in room 100,428.853333333333
Computer,100,very cold,2018-01-28,20:00:00,21:00:00,night,14,50,418.14333333333326,None,Turn off Computer in room 100,428.853333333333
Computer,100,low hot,2018-01-29,02:00:00,03:00:00,midnight,9,48,409.8633333333333,"Moving 6 people from room 113 to room 114 saves 371.9766666666669 of electricity, power consumption will reduce from 2778.463333333333 to 2406.486666666666",Turn off Computer in room 113,371.9766666666669
Computer,100,low cold,2018-01-29,04:00:00,05:00:00,early morning,0,0,387.41666666666674,"Moving 2 people from room 117 to room 119 saves 376.60666666666657 of electricity, power consumption will reduce from 2674.8333333333335 to 2298.226666666667",Turn off Computer in room 117,376.60666666666657
Computer,100,very hot,2018-01-29,06:00:00,07:00:00,early morning,8,33,401.44333333333327,"Moving 8 people from room 100 to room 101 saves 401.44333333333316 of electricity, power consumption will reduce from 2833.6366666666663 to 2432.193333333333",Turn off Computer in room 100,401.44333333333316
Computer,100,low hot,2018-01-29,10:00:00,11:00:00,morning,0,0,354.78,"Moving 1 people from room 115 to room 111 saves 374.0500000000002 of electricity, power consumption will reduce from 2663.826666666667 to 2289.7766666666666",Turn off Computer in room 115,374.0500000000002
Computer,100,low cold,2018-01-29,15:00:00,16:00:00,afternoon,1,59,387.79,"Moving 12 people from room 117 to room 102 saves 400.0999999999999 of electricity, power consumption will reduce from 2782.1866666666665 to 2382.0866666666666",Turn off Computer in room 117,400.0999999999999
Computer,100,low hot,2018-01-29,20:00:00,21:00:00,night,11,33,400.27333333333326,"Moving 3 people from room 105 to room 108 saves 399.4466666666667 of electricity, power consumption will reduce from 2891.0933333333332 to 2491.6466666666665",Turn off Computer in room 105,399.4466666666667
Computer,100,low hot,2018-01-30,01:00:00,02:00:00,midnight,12,53,421.10666666666674,None,Turn off Computer in room 114,401.15666666666675
Computer,100,hot,2018-01-30,08:00:00,09:00:00,morning,12,9,402.8,"Moving 7 people from room 110 to room 104 saves 397.7066666666674 of electricity, power consumption will reduce from 2724.6333333333337 to 2326.9266666666663",Turn off Computer in room 110,397.7066666666674
Computer,100,cold,2018-01-30,13:00:00,14:00:00,afternoon,9,16,415.2166666666666,"Moving 2 people from room 112 to room 118 saves 407.05666666666684 of electricity, power consumption will reduce from 2901.666666666667 to 2494.61",Turn off Computer in room 112,407.05666666666684
Computer,100,low hot,2018-01-30,16:00:00,17:00:00,evening,11,37,411.78,"Moving 13 people from room 116 to room 102 saves 413.51333333333287 of electricity, power consumption will reduce from 2860.3699999999994 to 2446.8566666666666",Turn off Computer in room 116,413.51333333333287
