device,room,weather_type,date,from_time,to_time,time,no_of_people,time_stayed_mins,power,target
AC,100,low cold,2018-01-01,03:00:00,04:00:00,midnight,12,29,1091,1
AC,100,low hot,2018-01-01,05:00:00,06:00:00,early morning,15,53,1055,1
AC,100,low hot,2018-01-01,09:00:00,10:00:00,morning,6,26,1914,0
AC,100,cold,2018-01-01,13:00:00,14:00:00,afternoon,8,40,1980,0
AC,100,low cold,2018-01-01,14:00:00,15:00:00,afternoon,5,50,1531,0
AC,100,very cold,2018-01-01,20:00:00,21:00:00,night,9,21,1144,1
AC,100,hot,2018-01-01,20:00:00,21:00:00,night,13,31,1608,0
AC,100,very cold,2018-01-01,20:00:00,21:00:00,night,9,50,1483,0
AC,100,cold,2018-01-01,23:00:00,00:00:00,midnight,10,21,1745,0
AC,100,very hot,2018-01-02,00:00:00,01:00:00,midnight,0,0,1876,0
AC,100,hot,2018-01-02,02:00:00,03:00:00,midnight,12,16,1005,1
AC,100,low cold,2018-01-02,03:00:00,04:00:00,midnight,15,31,1749,0
AC,100,low cold,2018-01-02,05:00:00,06:00:00,early morning,6,1,1156,1
AC,100,very hot,2018-01-02,06:00:00,07:00:00,early morning,0,0,1880,0
AC,100,very hot,2018-01-02,08:00:00,09:00:00,morning,9,15,1343,1
AC,100,low hot,2018-01-02,12:00:00,13:00:00,afternoon,9,26,1354,1
AC,100,cold,2018-01-02,16:00:00,17:00:00,evening,0,0,1112,1
AC,100,hot,2018-01-02,18:00:00,19:00:00,evening,10,51,1601,0
AC,100,low hot,2018-01-02,23:00:00,00:00:00,midnight,12,44,1597,0
AC,100,very cold,2018-01-03,00:00:00,01:00:00,midnight,6,57,1316,0
AC,100,hot,2018-01-03,02:00:00,03:00:00,midnight,8,47,1366,1
AC,100,low cold,2018-01-03,08:00:00,09:00:00,morning,2,55,1729,0
AC,100,hot,2018-01-03,09:00:00,10:00:00,morning,3,32,1179,1
AC,100,hot,2018-01-03,16:00:00,17:00:00,evening,1,51,1366,0
AC,100,cold,2018-01-03,18:00:00,19:00:00,evening,15,35,1540,0
AC,100,very hot,2018-01-03,18:00:00,19:00:00,evening,14,28,1905,0
AC,100,cold,2018-01-03,21:00:00,22:00:00,night,8,18,1810,0
AC,100,low hot,2018-01-03,21:00:00,22:00:00,night,8,51,1942,0
AC,100,hot,2018-01-03,23:00:00,00:00:00,midnight,10,37,1272,1
AC,100,very hot,2018-01-04,03:00:00,04:00:00,midnight,1,50,1859,0
AC,100,hot,2018-01-04,04:00:00,05:00:00,early morning,4,35,1081,1
AC,100,cold,2018-01-04,09:00:00,10:00:00,morning,11,59,1152,1
AC,100,low hot,2018-01-05,04:00:00,05:00:00,early morning,0,0,1815,0
AC,100,hot,2018-01-05,08:00:00,09:00:00,morning,7,8,1927,0
AC,100,low hot,2018-01-05,12:00:00,13:00:00,afternoon,15,4,1138,1
Computer,100,very hot,2018-01-27,03:00:00,04:00:00,midnight,0,0,474,0
Computer,100,very hot,2018-01-27,11:00:00,12:00:00,morning,0,0,328,1
Computer,100,very cold,2018-01-27,23:00:00,00:00:00,midnight,3,7,303,1
Computer,100,very cold,2018-01-28,00:00:00,01:00:00,midnight,9,8,405,0
Computer,100,hot,2018-01-28,08:00:00,09:00:00,morning,0,0,417,0
Computer,100,very hot,2018-01-28,11:00:00,12:00:00,morning,3,23,499,0
Computer,100,low hot,2018-01-28,12:00:00,13:00:00,afternoon,9,51,434,0
Computer,100,low hot,2018-01-28,16:00:00,17:00:00,evening,7,44,331,1
Computer,100,very cold,2018-01-28,20:00:00,21:00:00,night,11,13,397,1
Computer,100,very hot,2018-01-28,20:00:00,21:00:00,night,0,0,430,0
Computer,100,low cold,2018-01-28,22:00:00,23:00:00,night,10,36,441,0
Computer,100,low cold,2018-01-28,22:00:00,23:00:00,night,2,44,458,0
Computer,100,very cold,2018-01-28,23:00:00,00:00:00,midnight,11,10,423,0
Computer,100,low hot,2018-01-29,03:00:00,04:00:00,midnight,12,16,311,1
Computer,100,low cold,2018-01-29,03:00:00,04:00:00,midnight,7,3,351,1
Computer,100,low hot,2018-01-29,04:00:00,05:00:00,early morning,7,1,337,1
Computer,100,low hot,2018-01-29,08:00:00,09:00:00,morning,11,27,365,1
Computer,100,cold,2018-01-29,10:00:00,11:00:00,morning,3,11,331,1
Computer,100,low cold,2018-01-29,11:00:00,12:00:00,morning,10,15,439,0
Computer,100,cold,2018-01-29,12:00:00,13:00:00,afternoon,15,2,468,0
Computer,100,low cold,2018-01-29,13:00:00,14:00:00,afternoon,2,5,449,0
Computer,100,low cold,2018-01-29,13:00:00,14:00:00,afternoon,6,1,461,0
Computer,100,low hot,2018-01-29,14:00:00,15:00:00,afternoon,3,48,455,0
Computer,100,low cold,2018-01-29,20:00:00,21:00:00,night,11,20,338,1
Computer,100,hot,2018-01-30,02:00:00,03:00:00,midnight,8,52,475,0
Computer,100,very cold,2018-01-30,06:00:00,07:00:00,early morning,3,56,426,0
Computer,100,very hot,2018-01-30,08:00:00,09:00:00,morning,4,56,407,0
Computer,100,hot,2018-01-30,23:00:00,00:00:00,midnight,14,59,404,0
Computer,100,low cold,2018-01-31,00:00:00,01:00:00,midnight,1,34,356,1
Computer,100,low cold,2018-01-31,03:00:00,04:00:00,midnight,4,33,338,1
