device,room,weather_type,date,from_time,to_time,time,no_of_people,time_stayed_mins,power
AC,100,hot,2018-01-01,00:00:00,01:00:00,midnight,7,30,1770
AC,100,hot,2018-01-01,04:00:00,05:00:00,early morning,0,0,1808
AC,100,cold,2018-01-01,04:00:00,05:00:00,early morning,10,58,1440
AC,100,very hot,2018-01-01,07:00:00,08:00:00,morning,6,15,1348
AC,100,low hot,2018-01-01,12:00:00,13:00:00,afternoon,14,59,1291
AC,100,low cold,2018-01-01,16:00:00,17:00:00,evening,12,48,1894
AC,100,very hot,2018-01-01,17:00:00,18:00:00,evening,5,7,1510
AC,100,very hot,2018-01-01,21:00:00,22:00:00,night,7,14,1504
AC,100,very cold,2018-01-02,03:00:00,04:00:00,midnight,14,22,1570
AC,100,cold,2018-01-02,04:00:00,05:00:00,early morning,11,44,1190
AC,100,low hot,2018-01-02,07:00:00,08:00:00,morning,11,43,1798
AC,100,low hot,2018-01-02,08:00:00,09:00:00,morning,11,48,1064
AC,100,cold,2018-01-02,08:00:00,09:00:00,morning,12,3,1363
AC,100,very cold,2018-01-02,10:00:00,11:00:00,morning,0,0,1340
AC,100,very cold,2018-01-02,12:00:00,13:00:00,afternoon,13,39,1673
AC,100,very cold,2018-01-02,15:00:00,16:00:00,afternoon,3,22,1986
AC,100,hot,2018-01-02,19:00:00,20:00:00,night,12,34,1712
AC,100,very hot,2018-01-02,21:00:00,22:00:00,night,15,57,1096
AC,100,low hot,2018-01-03,00:00:00,01:00:00,midnight,0,0,1426
AC,100,low hot,2018-01-03,01:00:00,02:00:00,midnight,3,17,1800
AC,100,low hot,2018-01-03,07:00:00,08:00:00,morning,4,3,1130
AC,100,cold,2018-01-03,14:00:00,15:00:00,afternoon,0,0,1373
AC,100,low cold,2018-01-03,15:00:00,16:00:00,afternoon,10,47,1210
AC,100,very hot,2018-01-03,18:00:00,19:00:00,evening,8,30,1789
AC,100,hot,2018-01-03,21:00:00,22:00:00,night,6,50,1183
AC,100,hot,2018-01-04,00:00:00,01:00:00,midnight,4,39,1495
AC,100,hot,2018-01-04,08:00:00,09:00:00,morning,2,9,1609
AC,100,hot,2018-01-04,08:00:00,09:00:00,morning,7,7,1702
AC,100,very cold,2018-01-04,12:00:00,13:00:00,afternoon,9,41,1560
AC,100,low cold,2018-01-04,15:00:00,16:00:00,afternoon,12,59,1284
AC,100,hot,2018-01-04,18:00:00,19:00:00,evening,4,39,1404
AC,100,very hot,2018-01-05,09:00:00,10:00:00,morning,7,57,1025
AC,100,cold,2018-01-05,10:00:00,11:00:00,morning,15,44,1190
AC,100,very cold,2018-01-05,15:00:00,16:00:00,afternoon,10,59,1697
AC,100,hot,2018-01-05,17:00:00,18:00:00,evening,1,44,1693
Computer,100,very cold,2018-01-27,05:00:00,06:00:00,early morning,4,31,376
Computer,100,low cold,2018-01-27,08:00:00,09:00:00,morning,13,14,313
Computer,100,low cold,2018-01-27,12:00:00,13:00:00,afternoon,10,45,422
Computer,100,very hot,2018-01-28,00:00:00,01:00:00,midnight,7,3,354
Computer,100,very cold,2018-01-28,02:00:00,03:00:00,midnight,15,18,420
Computer,100,low hot,2018-01-28,05:00:00,06:00:00,early morning,3,48,489
Computer,100,very hot,2018-01-28,07:00:00,08:00:00,morning,7,19,352
Computer,100,cold,2018-01-28,08:00:00,09:00:00,morning,8,20,421
Computer,100,hot,2018-01-28,09:00:00,10:00:00,morning,15,17,433
Computer,100,very hot,2018-01-28,12:00:00,13:00:00,afternoon,6,3,396
Computer,100,very hot,2018-01-28,17:00:00,18:00:00,evening,7,21,456
Computer,100,very cold,2018-01-28,18:00:00,19:00:00,evening,7,22,357
Computer,100,low hot,2018-01-29,02:00:00,03:00:00,midnight,0,0,430
Computer,100,very cold,2018-01-29,12:00:00,13:00:00,afternoon,9,37,410
Computer,100,cold,2018-01-29,13:00:00,14:00:00,afternoon,10,42,400
Computer,100,cold,2018-01-29,15:00:00,16:00:00,afternoon,1,4,469
Computer,100,hot,2018-01-29,16:00:00,17:00:00,evening,5,7,346
Computer,100,cold,2018-01-29,19:00:00,20:00:00,night,0,0,493
Computer,100,cold,2018-01-29,19:00:00,20:00:00,night,11,10,345
Computer,100,low hot,2018-01-30,01:00:00,02:00:00,midnight,1,5,339
Computer,100,very cold,2018-01-30,06:00:00,07:00:00,early morning,14,57,354
Computer,100,cold,2018-01-30,09:00:00,10:00:00,morning,4,24,440
Computer,100,low cold,2018-01-30,09:00:00,10:00:00,morning,5,58,416
Computer,100,very hot,2018-01-30,17:00:00,18:00:00,evening,12,34,344
Computer,100,low cold,2018-01-30,19:00:00,20:00:00,night,6,40,357
Computer,100,very cold,2018-01-30,21:00:00,22:00:00,night,3,34,405
Computer,100,very cold,2018-01-31,02:00:00,03:00:00,midnight,15,21,480
Computer,100,hot,2018-01-31,03:00:00,04:00:00,midnight,2,26,380
Computer,100,very hot,2018-01-31,04:00:00,05:00:00,early morning,6,19,311
Computer,100,low hot,2018-01-31,06:00:00,07:00:00,early morning,14,5,406
Computer,100,low hot,2018-01-31,06:00:00,07:00:00,early morning,11,54,463
Computer,100,low hot,2018-01-31,07:00:00,08:00:00,morning,8,27,461
Computer,100,very hot,2018-01-31,11:00:00,12:00:00,morning,14,29,324
Computer,100,very cold,2018-01-31,12:00:00,13:00:00,afternoon,4,45,351
Computer,100,hot,2018-01-31,14:00:00,15:00:00,afternoon,15,15,425
Computer,100,hot,2018-01-31,15:00:00,16:00:00,afternoon,10,54,457
Computer,100,hot,2018-01-31,19:00:00,20:00:00,night,5,11,373
Computer,100,low hot,2018-01-31,19:00:00,20:00:00,night,2,34,491
Computer,100,low cold,2018-01-31,20:00:00,21:00:00,night,10,43,370
Computer,100,hot,2018-01-31,21:00:00,22:00:00,night,0,0,340
Computer,100,cold,2018-01-31,23:00:00,00:00:00,midnight,0,0,360
Heater,100,low hot,2018-01-18,01:00:00,02:00:00,midnight,2,24,1805
Heater,100,cold,2018-01-18,06:00:00,07:00:00,early morning,12,42,1588
Heater,100,low hot,2018-01-18,08:00:00,09:00:00,morning,3,59,2160
Heater,100,very hot,2018-01-18,23:00:00,00:00:00,midnight,5,19,2190
Heater,100,hot,2018-01-19,00:00:00,01:00:00,midnight,1,54,1826
Heater,100,very cold,2018-01-19,01:00:00,02:00:00,midnight,6,20,1973
Heater,100,low cold,2018-01-19,09:00:00,10:00:00,morning,2,1,1928
Heater,100,hot,2018-01-19,12:00:00,13:00:00,afternoon,14,9,1506
Heater,100,hot,2018-01-19,13:00:00,14:00:00,afternoon,8,49,2514
Heater,100,cold,2018-01-19,14:00:00,15:00:00,afternoon,7,6,1633
Heater,100,very hot,2018-01-19,22:00:00,23:00:00,night,0,0,1665
