device,room,weather_type,date,from_time,to_time,time,no_of_people,time_stayed_mins,power
AC,100,cold,2018-01-01,01:00:00,02:00:00,midnight,12,42,1224.0
AC,100,low hot,2018-01-01,02:00:00,03:00:00,midnight,13,16,1852.0
AC,100,very hot,2018-01-01,07:00:00,08:00:00,morning,7,57,1238.0
AC,100,low cold,2018-01-01,10:00:00,11:00:00,morning,11,33,1486.0
AC,100,low cold,2018-01-01,11:00:00,12:00:00,morning,12,50,1105.0
AC,100,hot,2018-01-01,12:00:00,13:00:00,afternoon,9,24,1568.0
AC,100,low cold,2018-01-01,13:00:00,14:00:00,afternoon,3,53,1917.0
AC,100,hot,2018-01-01,18:00:00,19:00:00,evening,3,11,1985.0
AC,100,hot,2018-01-01,23:00:00,00:00:00,midnight,8,45,1507.0
AC,100,cold,2018-01-02,00:00:00,01:00:00,midnight,2,17,1203.0
AC,100,very cold,2018-01-02,01:00:00,02:00:00,midnight,13,40,1074.0
AC,100,low cold,2018-01-02,03:00:00,04:00:00,midnight,10,12,1533.0
AC,100,hot,2018-01-02,07:00:00,08:00:00,morning,10,46,1130.0
AC,100,very hot,2018-01-02,07:00:00,08:00:00,morning,7,34,1249.0
AC,100,low hot,2018-01-02,08:00:00,09:00:00,morning,4,40,1249.0
AC,100,very hot,2018-01-02,09:00:00,10:00:00,morning,9,26,1363.0
AC,100,low hot,2018-01-02,11:00:00,12:00:00,morning,14,59,1016.0
AC,100,very cold,2018-01-02,11:00:00,12:00:00,morning,6,18,1533.0
AC,100,low hot,2018-01-02,14:00:00,15:00:00,afternoon,2,37,1145.0
AC,100,low cold,2018-01-02,16:00:00,17:00:00,evening,7,55,1729.0
AC,100,cold,2018-01-02,17:00:00,18:00:00,evening,4,3,1956.0
AC,100,very cold,2018-01-02,20:00:00,21:00:00,night,13,39,1787.0
AC,100,low cold,2018-01-02,21:00:00,22:00:00,night,15,24,1189.0
AC,100,low cold,2018-01-02,22:00:00,23:00:00,night,2,52,1916.0
AC,100,cold,2018-01-03,06:00:00,07:00:00,early morning,0,0,1223.0
AC,100,low cold,2018-01-03,13:00:00,14:00:00,afternoon,13,57,1769.0
AC,100,cold,2018-01-03,13:00:00,14:00:00,afternoon,6,25,1880.0
AC,100,hot,2018-01-04,08:00:00,09:00:00,morning,3,4,1880.0
AC,100,very cold,2018-01-04,11:00:00,12:00:00,morning,9,35,1050.0
AC,100,very hot,2018-01-04,16:00:00,17:00:00,evening,2,21,1115.0
AC,100,low cold,2018-01-04,23:00:00,00:00:00,midnight,1,45,1370.0
AC,100,cold,2018-01-05,02:00:00,03:00:00,midnight,14,40,1656.0
AC,100,very cold,2018-01-05,09:00:00,10:00:00,morning,4,26,1595.0
AC,100,very cold,2018-01-05,18:00:00,19:00:00,evening,10,6,1533.0
Computer,100,cold,2018-01-27,01:00:00,02:00:00,midnight,3,42,448.0
Computer,100,cold,2018-01-27,02:00:00,03:00:00,midnight,8,40,475.0
Computer,100,low hot,2018-01-27,22:00:00,23:00:00,night,0,0,340.0
Computer,100,hot,2018-01-28,00:00:00,01:00:00,midnight,3,56,426.0
Computer,100,very cold,2018-01-28,00:00:00,01:00:00,midnight,1,1,386.0
Computer,100,very hot,2018-01-28,03:00:00,04:00:00,midnight,7,52,417.0
Computer,100,very cold,2018-01-28,04:00:00,05:00:00,early morning,5,36,458.0
Computer,100,cold,2018-01-28,05:00:00,06:00:00,early morning,5,18,499.0
Computer,100,low hot,2018-01-28,09:00:00,10:00:00,morning,6,58,365.0
Computer,100,hot,2018-01-28,11:00:00,12:00:00,morning,4,17,499.0
Computer,100,hot,2018-01-28,12:00:00,13:00:00,afternoon,11,6,499.0
Computer,100,very cold,2018-01-28,13:00:00,14:00:00,afternoon,3,52,458.0
Computer,100,very cold,2018-01-28,16:00:00,17:00:00,evening,7,29,499.0
Computer,100,very hot,2018-01-28,20:00:00,21:00:00,night,0,0,431.0
Computer,100,very cold,2018-01-28,20:00:00,21:00:00,night,14,50,404.0
Computer,100,low hot,2018-01-29,02:00:00,03:00:00,midnight,9,48,365.0
Computer,100,low cold,2018-01-29,04:00:00,05:00:00,early morning,0,0,307.0
Computer,100,very hot,2018-01-29,06:00:00,07:00:00,early morning,8,33,448.0
Computer,100,low hot,2018-01-29,10:00:00,11:00:00,morning,0,0,356.0
Computer,100,low cold,2018-01-29,15:00:00,16:00:00,afternoon,1,59,377.0
Computer,100,low hot,2018-01-29,20:00:00,21:00:00,night,11,33,425.0
Computer,100,low hot,2018-01-30,01:00:00,02:00:00,midnight,12,53,365.0
Computer,100,hot,2018-01-30,08:00:00,09:00:00,morning,12,9,448.0
Computer,100,cold,2018-01-30,13:00:00,14:00:00,afternoon,9,16,449.0
Computer,100,low hot,2018-01-30,16:00:00,17:00:00,evening,11,37,365.0
Computer,100,hot,2018-01-30,17:00:00,18:00:00,evening,3,20,448.0
Computer,100,low hot,2018-01-30,17:00:00,18:00:00,evening,9,4,337.0
Computer,100,cold,2018-01-30,20:00:00,21:00:00,night,15,36,404.0
Computer,100,low cold,2018-01-31,00:00:00,01:00:00,midnight,8,29,405.0
Computer,100,cold,2018-01-31,01:00:00,02:00:00,midnight,15,45,448.0
Computer,100,low cold,2018-01-31,02:00:00,03:00:00,midnight,2,56,426.0
Computer,100,very cold,2018-01-31,06:00:00,07:00:00,early morning,10,22,448.0
