device,room,weather_type,date,from_time,to_time,time,no_of_people,time_stayed_mins,power
AC,100,cold,2018-01-01,01:00:00,02:00:00,midnight,12,42,1488.375
AC,100,low hot,2018-01-01,02:00:00,03:00:00,midnight,13,16,1544.921875
AC,100,very hot,2018-01-01,07:00:00,08:00:00,morning,7,57,1544.890625
AC,100,low cold,2018-01-01,10:00:00,11:00:00,morning,11,33,1508.27734375
AC,100,low cold,2018-01-01,11:00:00,12:00:00,morning,12,50,1523.26171875
AC,100,hot,2018-01-01,12:00:00,13:00:00,afternoon,9,24,1536.98046875
AC,100,low cold,2018-01-01,13:00:00,14:00:00,afternoon,3,53,1556.765625
AC,100,hot,2018-01-01,18:00:00,19:00:00,evening,3,11,1535.5234375
AC,100,hot,2018-01-01,23:00:00,00:00:00,midnight,8,45,1538.38671875
AC,100,cold,2018-01-02,00:00:00,01:00:00,midnight,2,17,1495.7421875
AC,100,very cold,2018-01-02,01:00:00,02:00:00,midnight,13,40,1466.1875
AC,100,low cold,2018-01-02,03:00:00,04:00:00,midnight,10,12,1502.98828125
AC,100,hot,2018-01-02,07:00:00,08:00:00,morning,10,46,1506.546875
AC,100,very hot,2018-01-02,07:00:00,08:00:00,morning,7,34,1518.33984375
AC,100,low hot,2018-01-02,08:00:00,09:00:00,morning,4,40,1532.25
AC,100,very hot,2018-01-02,09:00:00,10:00:00,morning,9,26,1532.92578125
AC,100,low hot,2018-01-02,11:00:00,12:00:00,morning,14,59,1506.921875
AC,100,very cold,2018-01-02,11:00:00,12:00:00,morning,6,18,1471.25390625
AC,100,low hot,2018-01-02,14:00:00,15:00:00,afternoon,2,37,1494.3515625
AC,100,low cold,2018-01-02,16:00:00,17:00:00,evening,7,55,1492.60546875
AC,100,cold,2018-01-02,17:00:00,18:00:00,evening,4,3,1450.90625
AC,100,very cold,2018-01-02,20:00:00,21:00:00,night,13,39,1470.2578125
AC,100,low cold,2018-01-02,21:00:00,22:00:00,night,15,24,1529.96875
AC,100,low cold,2018-01-02,22:00:00,23:00:00,night,2,52,1533.234375
AC,100,cold,2018-01-03,06:00:00,07:00:00,early morning,0,0,1471.01171875
AC,100,low cold,2018-01-03,13:00:00,14:00:00,afternoon,13,57,1539.40625
AC,100,cold,2018-01-03,13:00:00,14:00:00,afternoon,6,25,1509.109375
AC,100,hot,2018-01-04,08:00:00,09:00:00,morning,3,4,1520.58984375
AC,100,very cold,2018-01-04,11:00:00,12:00:00,morning,9,35,1486.80078125
AC,100,very hot,2018-01-04,16:00:00,17:00:00,evening,2,21,1498.99609375
AC,100,low cold,2018-01-04,23:00:00,00:00:00,midnight,1,45,1542.1015625
AC,100,cold,2018-01-05,02:00:00,03:00:00,midnight,14,40,1500.94140625
AC,100,very cold,2018-01-05,09:00:00,10:00:00,morning,4,26,1505.2421875
AC,100,very cold,2018-01-05,18:00:00,19:00:00,evening,10,6,1498.609375
Computer,100,cold,2018-01-27,01:00:00,02:00:00,midnight,3,42,388.765625
Computer,100,cold,2018-01-27,02:00:00,03:00:00,midnight,8,40,424.296875
Computer,100,low hot,2018-01-27,22:00:00,23:00:00,night,0,0,444.5078125
Computer,100,hot,2018-01-28,00:00:00,01:00:00,midnight,3,56,441.30078125
Computer,100,very cold,2018-01-28,00:00:00,01:00:00,midnight,1,1,416.76171875
Computer,100,very hot,2018-01-28,03:00:00,04:00:00,midnight,7,52,440.07421875
Computer,100,very cold,2018-01-28,04:00:00,05:00:00,early morning,5,36,434.15625
Computer,100,cold,2018-01-28,05:00:00,06:00:00,early morning,5,18,407.75390625
Computer,100,low hot,2018-01-28,09:00:00,10:00:00,morning,6,58,466.796875
Computer,100,hot,2018-01-28,11:00:00,12:00:00,morning,4,17,408.15234375
Computer,100,hot,2018-01-28,12:00:00,13:00:00,afternoon,11,6,436.61328125
Computer,100,very cold,2018-01-28,13:00:00,14:00:00,afternoon,3,52,436.68359375
Computer,100,very cold,2018-01-28,16:00:00,17:00:00,evening,7,29,387.6953125
Computer,100,very hot,2018-01-28,20:00:00,21:00:00,night,0,0,413.62890625
Computer,100,very cold,2018-01-28,20:00:00,21:00:00,night,14,50,397.96875
Computer,100,low hot,2018-01-29,02:00:00,03:00:00,midnight,9,48,448.5546875
Computer,100,low cold,2018-01-29,04:00:00,05:00:00,early morning,0,0,441.63671875
Computer,100,very hot,2018-01-29,06:00:00,07:00:00,early morning,8,33,416.4140625
Computer,100,low hot,2018-01-29,10:00:00,11:00:00,morning,0,0,400.08984375
