date,from_time,power
01-01-2018,00:00:00,11103
01-01-2018,01:00:00,9889
01-01-2018,02:00:00,9150
01-01-2018,03:00:00,10290
01-01-2018,04:00:00,9702
01-01-2018,05:00:00,11044
01-01-2018,06:00:00,10217
01-01-2018,07:00:00,10341
01-01-2018,08:00:00,8722
01-01-2018,09:00:00,8281
01-01-2018,10:00:00,10614
01-01-2018,11:00:00,10308
01-01-2018,12:00:00,10011
01-01-2018,13:00:00,9780
01-01-2018,14:00:00,11068
01-01-2018,15:00:00,9542
01-01-2018,16:00:00,10744
01-01-2018,17:00:00,10836
01-01-2018,18:00:00,10666
01-01-2018,19:00:00,9715
01-01-2018,20:00:00,11051
01-01-2018,21:00:00,10475
01-01-2018,22:00:00,9692
01-01-2018,23:00:00,10235
02-01-2018,00:00:00,12758
02-01-2018,01:00:00,11108
02-01-2018,02:00:00,9188
02-01-2018,03:00:00,11143
02-01-2018,04:00:00,10484
02-01-2018,05:00:00,10724
02-01-2018,06:00:00,8953
02-01-2018,07:00:00,11433
02-01-2018,08:00:00,10000
02-01-2018,09:00:00,9205
02-01-2018,10:00:00,10934
02-01-2018,11:00:00,9610
02-01-2018,12:00:00,9948
02-01-2018,13:00:00,10946
02-01-2018,14:00:00,11470
02-01-2018,15:00:00,10339
02-01-2018,16:00:00,10407
02-01-2018,17:00:00,10444
02-01-2018,18:00:00,12182
02-01-2018,19:00:00,11670
02-01-2018,20:00:00,10225
02-01-2018,21:00:00,10884
02-01-2018,22:00:00,10906
02-01-2018,23:00:00,9978
03-01-2018,00:00:00,8724
03-01-2018,01:00:00,11717
03-01-2018,02:00:00,10022
03-01-2018,03:00:00,8590
03-01-2018,04:00:00,8730
03-01-2018,05:00:00,10120
03-01-2018,06:00:00,10097
03-01-2018,07:00:00,10782
03-01-2018,08:00:00,12331
03-01-2018,09:00:00,10435
03-01-2018,10:00:00,10687
03-01-2018,11:00:00,11243
03-01-2018,12:00:00,9489
03-01-2018,13:00:00,9655
03-01-2018,14:00:00,9968
03-01-2018,15:00:00,11295
03-01-2018,16:00:00,9576
03-01-2018,17:00:00,11122
03-01-2018,18:00:00,10489
03-01-2018,19:00:00,11499
03-01-2018,20:00:00,10600
03-01-2018,21:00:00,9453
03-01-2018,22:00:00,10085
03-01-2018,23:00:00,10815
04-01-2018,00:00:00,10428
04-01-2018,01:00:00,11428
04-01-2018,02:00:00,10433
04-01-2018,03:00:00,10398
04-01-2018,04:00:00,10491
04-01-2018,05:00:00,11694
04-01-2018,06:00:00,10220
04-01-2018,07:00:00,10962
04-01-2018,08:00:00,10854
04-01-2018,09:00:00,10940
04-01-2018,10:00:00,11319
04-01-2018,11:00:00,9821
04-01-2018,12:00:00,10665
04-01-2018,13:00:00,10018
04-01-2018,14:00:00,10649
04-01-2018,15:00:00,12474
04-01-2018,16:00:00,9526
04-01-2018,17:00:00,9822
04-01-2018,18:00:00,9298
04-01-2018,19:00:00,10983
04-01-2018,20:00:00,9938
04-01-2018,21:00:00,10416
04-01-2018,22:00:00,10441
04-01-2018,23:00:00,10656
05-01-2018,00:00:00,11924
05-01-2018,01:00:00,11657
05-01-2018,02:00:00,10805
05-01-2018,03:00:00,10143
05-01-2018,04:00:00,10066
05-01-2018,05:00:00,12530
05-01-2018,06:00:00,11490
05-01-2018,07:00:00,10292
05-01-2018,08:00:00,11209
05-01-2018,09:00:00,11227
05-01-2018,10:00:00,9719
05-01-2018,11:00:00,10049
05-01-2018,12:00:00,10368
05-01-2018,13:00:00,10311
05-01-2018,14:00:00,9930
05-01-2018,15:00:00,10577
05-01-2018,16:00:00,9961
05-01-2018,17:00:00,10800
05-01-2018,18:00:00,9438
05-01-2018,19:00:00,9483
05-01-2018,20:00:00,8538
05-01-2018,21:00:00,11841
05-01-2018,22:00:00,9889
05-01-2018,23:00:00,9921
06-01-2018,00:00:00,9548
06-01-2018,01:00:00,9338
06-01-2018,02:00:00,10953
06-01-2018,03:00:00,9300
06-01-2018,04:00:00,10843
06-01-2018,05:00:00,10529
06-01-2018,06:00:00,9546
06-01-2018,07:00:00,10755
06-01-2018,08:00:00,10729
06-01-2018,09:00:00,10907
06-01-2018,10:00:00,10836
06-01-2018,11:00:00,10529
06-01-2018,12:00:00,11321
06-01-2018,13:00:00,10751
06-01-2018,14:00:00,10005
06-01-2018,15:00:00,8826
06-01-2018,16:00:00,10011
06-01-2018,17:00:00,12301
06-01-2018,18:00:00,9613
06-01-2018,19:00:00,9754
06-01-2018,20:00:00,10033
06-01-2018,21:00:00,9057
06-01-2018,22:00:00,10499
06-01-2018,23:00:00,10892
07-01-2018,00:00:00,12146
07-01-2018,01:00:00,10455
07-01-2018,02:00:00,10513
07-01-2018,03:00:00,11227
07-01-2018,04:00:00,11586
07-01-2018,05:00:00,10614
07-01-2018,06:00:00,11460
07-01-2018,07:00:00,10557
07-01-2018,08:00:00,11235
07-01-2018,09:00:00,11570
07-01-2018,10:00:00,11113
07-01-2018,11:00:00,10048
07-01-2018,12:00:00,10811
07-01-2018,13:00:00,10221
07-01-2018,14:00:00,9754
07-01-2018,15:00:00,9763
07-01-2018,16:00:00,10515
07-01-2018,17:00:00,10649
07-01-2018,18:00:00,11637
07-01-2018,19:00:00,9224
07-01-2018,20:00:00,12089
07-01-2018,21:00:00,9493
07-01-2018,22:00:00,11259
07-01-2018,23:00:00,8930
08-01-2018,00:00:00,9742
08-01-2018,01:00:00,9223
08-01-2018,02:00:00,9989
08-01-2018,03:00:00,9984
08-01-2018,04:00:00,11261
08-01-2018,05:00:00,10721
08-01-2018,06:00:00,10354
08-01-2018,07:00:00,9305
08-01-2018,08:00:00,9813
08-01-2018,09:00:00,12118
08-01-2018,10:00:00,10333
08-01-2018,11:00:00,10559
08-01-2018,12:00:00,11252
08-01-2018,13:00:00,10928
08-01-2018,14:00:00,11364
08-01-2018,15:00:00,11098
08-01-2018,16:00:00,11183
08-01-2018,17:00:00,10870
08-01-2018,18:00:00,11485
08-01-2018,19:00:00,9767
08-01-2018,20:00:00,9773
08-01-2018,21:00:00,10511
08-01-2018,22:00:00,11032
08-01-2018,23:00:00,10959
09-01-2018,00:00:00,11566
09-01-2018,01:00:00,9027
09-01-2018,02:00:00,9033
09-01-2018,03:00:00,9960
09-01-2018,04:00:00,9538
09-01-2018,05:00:00,8642
09-01-2018,06:00:00,9645
09-01-2018,07:00:00,9240
09-01-2018,08:00:00,9246
09-01-2018,09:00:00,9618
09-01-2018,10:00:00,9753
09-01-2018,11:00:00,10069
09-01-2018,12:00:00,9538
09-01-2018,13:00:00,9177
09-01-2018,14:00:00,9827
09-01-2018,15:00:00,9188
09-01-2018,16:00:00,9139
09-01-2018,17:00:00,8378
09-01-2018,18:00:00,10344
09-01-2018,19:00:00,8250
09-01-2018,20:00:00,9113
09-01-2018,21:00:00,8862
09-01-2018,22:00:00,9524
09-01-2018,23:00:00,8726
10-01-2018,00:00:00,1549
10-01-2018,01:00:00,1882
10-01-2018,02:00:00,1828
10-01-2018,03:00:00,1717
10-01-2018,04:00:00,1702
10-01-2018,05:00:00,1806
10-01-2018,06:00:00,1766
10-01-2018,07:00:00,1723
10-01-2018,08:00:00,1764
10-01-2018,09:00:00,1642
10-01-2018,10:00:00,1917
10-01-2018,11:00:00,1764
10-01-2018,12:00:00,1596
10-01-2018,13:00:00,1839
10-01-2018,14:00:00,1681
10-01-2018,15:00:00,1816
10-01-2018,16:00:00,1623
10-01-2018,17:00:00,1887
10-01-2018,18:00:00,1827
10-01-2018,19:00:00,1581
10-01-2018,20:00:00,1864
10-01-2018,21:00:00,1737
10-01-2018,22:00:00,1840
10-01-2018,23:00:00,1701
11-01-2018,00:00:00,1846
11-01-2018,01:00:00,1903
11-01-2018,02:00:00,1813
11-01-2018,03:00:00,1789
11-01-2018,04:00:00,1728
11-01-2018,05:00:00,1790
11-01-2018,06:00:00,1722
11-01-2018,07:00:00,1818
11-01-2018,08:00:00,1710
11-01-2018,09:00:00,1697
11-01-2018,10:00:00,1717
11-01-2018,11:00:00,1716
11-01-2018,12:00:00,1845
11-01-2018,13:00:00,1606
11-01-2018,14:00:00,1761
11-01-2018,15:00:00,1729
11-01-2018,16:00:00,1842
11-01-2018,17:00:00,1783
11-01-2018,18:00:00,1783
11-01-2018,19:00:00,1655
11-01-2018,20:00:00,1633
11-01-2018,21:00:00,1714
11-01-2018,22:00:00,1788
11-01-2018,23:00:00,1673
12-01-2018,00:00:00,1659
12-01-2018,01:00:00,1749
12-01-2018,02:00:00,1667
12-01-2018,03:00:00,1758
12-01-2018,04:00:00,1808
12-01-2018,05:00:00,1717
12-01-2018,06:00:00,1749
12-01-2018,07:00:00,1773
12-01-2018,08:00:00,1709
12-01-2018,09:00:00,1841
12-01-2018,10:00:00,1881
12-01-2018,11:00:00,1728
12-01-2018,12:00:00,1811
12-01-2018,13:00:00,1655
12-01-2018,14:00:00,1802
12-01-2018,15:00:00,1894
12-01-2018,16:00:00,1828
12-01-2018,17:00:00,1735
12-01-2018,18:00:00,1587
12-01-2018,19:00:00,1774
12-01-2018,20:00:00,1760
12-01-2018,21:00:00,1817
12-01-2018,22:00:00,1875
12-01-2018,23:00:00,1652
13-01-2018,00:00:00,1566
13-01-2018,01:00:00,1871
13-01-2018,02:00:00,1803
13-01-2018,03:00:00,1782
13-01-2018,04:00:00,1786
13-01-2018,05:00:00,1840
13-01-2018,06:00:00,1741
13-01-2018,07:00:00,1700
13-01-2018,08:00:00,1730
13-01-2018,09:00:00,1800
13-01-2018,10:00:00,1730
13-01-2018,11:00:00,1730
13-01-2018,12:00:00,1846
13-01-2018,13:00:00,1760
13-01-2018,14:00:00,1762
13-01-2018,15:00:00,1826
13-01-2018,16:00:00,1746
13-01-2018,17:00:00,1786
13-01-2018,18:00:00,1760
13-01-2018,19:00:00,1718
13-01-2018,20:00:00,1790
13-01-2018,21:00:00,1954
13-01-2018,22:00:00,1533
13-01-2018,23:00:00,1843
14-01-2018,00:00:00,1527
14-01-2018,01:00:00,1499
14-01-2018,02:00:00,1459
14-01-2018,03:00:00,1720
14-01-2018,04:00:00,1257
14-01-2018,05:00:00,1274
14-01-2018,06:00:00,1457
14-01-2018,07:00:00,1623
14-01-2018,08:00:00,1622
14-01-2018,09:00:00,1591
14-01-2018,10:00:00,1521
14-01-2018,11:00:00,1436
14-01-2018,12:00:00,1431
14-01-2018,13:00:00,1555
14-01-2018,14:00:00,1525
14-01-2018,15:00:00,1636
14-01-2018,16:00:00,1597
14-01-2018,17:00:00,1643
14-01-2018,18:00:00,1530
14-01-2018,19:00:00,1575
14-01-2018,20:00:00,1545
14-01-2018,21:00:00,1379
14-01-2018,22:00:00,1681
14-01-2018,23:00:00,1466
15-01-2018,00:00:00,1215
15-01-2018,01:00:00,1455
15-01-2018,02:00:00,1408
15-01-2018,03:00:00,1392
15-01-2018,04:00:00,1191
15-01-2018,05:00:00,1583
15-01-2018,06:00:00,1504
15-01-2018,07:00:00,1246
15-01-2018,08:00:00,1226
15-01-2018,09:00:00,1438
15-01-2018,10:00:00,1228
15-01-2018,11:00:00,1464
15-01-2018,12:00:00,1522
15-01-2018,13:00:00,1446
15-01-2018,14:00:00,1406
15-01-2018,15:00:00,1278
15-01-2018,16:00:00,1595
15-01-2018,17:00:00,1209
15-01-2018,18:00:00,1529
15-01-2018,19:00:00,1617
15-01-2018,20:00:00,1558
15-01-2018,21:00:00,1096
15-01-2018,22:00:00,1266
15-01-2018,23:00:00,1181
16-01-2018,00:00:00,1579
16-01-2018,01:00:00,1380
16-01-2018,02:00:00,1488
16-01-2018,03:00:00,1383
16-01-2018,04:00:00,1510
16-01-2018,05:00:00,1389
16-01-2018,06:00:00,1449
16-01-2018,07:00:00,1622
16-01-2018,08:00:00,1524
16-01-2018,09:00:00,1415
16-01-2018,10:00:00,1311
16-01-2018,11:00:00,1262
16-01-2018,12:00:00,1279
16-01-2018,13:00:00,1358
16-01-2018,14:00:00,1435
16-01-2018,15:00:00,1289
16-01-2018,16:00:00,1130
16-01-2018,17:00:00,1316
16-01-2018,18:00:00,1237
16-01-2018,19:00:00,1573
16-01-2018,20:00:00,1364
16-01-2018,21:00:00,1148
16-01-2018,22:00:00,1357
16-01-2018,23:00:00,990
17-01-2018,00:00:00,1032
17-01-2018,01:00:00,1431
17-01-2018,02:00:00,1515
17-01-2018,03:00:00,1376
17-01-2018,04:00:00,1240
17-01-2018,05:00:00,1463
17-01-2018,06:00:00,1326
17-01-2018,07:00:00,1404
17-01-2018,08:00:00,1261
17-01-2018,09:00:00,1633
17-01-2018,10:00:00,1574
17-01-2018,11:00:00,1408
17-01-2018,12:00:00,1377
17-01-2018,13:00:00,1141
17-01-2018,14:00:00,1532
17-01-2018,15:00:00,1412
17-01-2018,16:00:00,1568
17-01-2018,17:00:00,1368
17-01-2018,18:00:00,1538
17-01-2018,19:00:00,1449
17-01-2018,20:00:00,1360
17-01-2018,21:00:00,1552
17-01-2018,22:00:00,1505
17-01-2018,23:00:00,1823
18-01-2018,00:00:00,5651
18-01-2018,01:00:00,4547
18-01-2018,02:00:00,6093
18-01-2018,03:00:00,6784
18-01-2018,04:00:00,5908
18-01-2018,05:00:00,5879
18-01-2018,06:00:00,4845
18-01-2018,07:00:00,4913
18-01-2018,08:00:00,6225
18-01-2018,09:00:00,6794
18-01-2018,10:00:00,5064
18-01-2018,11:00:00,5227
18-01-2018,12:00:00,5885
18-01-2018,13:00:00,4755
18-01-2018,14:00:00,6310
18-01-2018,15:00:00,4964
18-01-2018,16:00:00,6010
18-01-2018,17:00:00,5461
18-01-2018,18:00:00,5091
18-01-2018,19:00:00,6499
18-01-2018,20:00:00,4729
18-01-2018,21:00:00,4736
18-01-2018,22:00:00,4402
18-01-2018,23:00:00,4815
19-01-2018,00:00:00,14716
19-01-2018,01:00:00,17058
19-01-2018,02:00:00,16449
19-01-2018,03:00:00,16790
19-01-2018,04:00:00,15234
19-01-2018,05:00:00,15741
19-01-2018,06:00:00,16019
19-01-2018,07:00:00,15372
19-01-2018,08:00:00,14871
19-01-2018,09:00:00,16757
19-01-2018,10:00:00,15006
19-01-2018,11:00:00,15544
19-01-2018,12:00:00,15724
19-01-2018,13:00:00,16284
19-01-2018,14:00:00,16169
19-01-2018,15:00:00,16043
19-01-2018,16:00:00,17278
19-01-2018,17:00:00,14529
19-01-2018,18:00:00,17044
19-01-2018,19:00:00,15879
19-01-2018,20:00:00,15778
19-01-2018,21:00:00,15629
19-01-2018,22:00:00,15079
19-01-2018,23:00:00,16873
20-01-2018,00:00:00,15091
20-01-2018,01:00:00,15567
20-01-2018,02:00:00,15504
20-01-2018,03:00:00,15921
20-01-2018,04:00:00,15012
20-01-2018,05:00:00,14244
20-01-2018,06:00:00,15446
20-01-2018,07:00:00,14523
20-01-2018,08:00:00,15917
20-01-2018,09:00:00,16326
20-01-2018,10:00:00,14075
20-01-2018,11:00:00,14499
20-01-2018,12:00:00,16488
20-01-2018,13:00:00,16357
20-01-2018,14:00:00,17395
20-01-2018,15:00:00,16464
20-01-2018,16:00:00,16758
20-01-2018,17:00:00,15270
20-01-2018,18:00:00,16263
20-01-2018,19:00:00,15414
20-01-2018,20:00:00,15992
20-01-2018,21:00:00,14250
20-01-2018,22:00:00,17283
20-01-2018,23:00:00,14742
21-01-2018,00:00:00,14436
21-01-2018,01:00:00,15203
21-01-2018,02:00:00,16121
21-01-2018,03:00:00,15537
21-01-2018,04:00:00,16951
21-01-2018,05:00:00,14875
21-01-2018,06:00:00,16130
21-01-2018,07:00:00,15611
21-01-2018,08:00:00,17009
21-01-2018,09:00:00,16403
21-01-2018,10:00:00,15521
21-01-2018,11:00:00,13321
21-01-2018,12:00:00,17084
21-01-2018,13:00:00,14136
21-01-2018,14:00:00,14417
21-01-2018,15:00:00,16608
21-01-2018,16:00:00,14354
21-01-2018,17:00:00,16584
21-01-2018,18:00:00,13392
21-01-2018,19:00:00,16953
21-01-2018,20:00:00,15486
21-01-2018,21:00:00,14771
21-01-2018,22:00:00,13118
21-01-2018,23:00:00,16798
22-01-2018,00:00:00,15853
22-01-2018,01:00:00,14224
22-01-2018,02:00:00,17914
22-01-2018,03:00:00,17523
22-01-2018,04:00:00,16421
22-01-2018,05:00:00,16694
22-01-2018,06:00:00,16890
22-01-2018,07:00:00,15505
22-01-2018,08:00:00,15668
22-01-2018,09:00:00,15050
22-01-2018,10:00:00,18075
22-01-2018,11:00:00,16581
22-01-2018,12:00:00,15475
22-01-2018,13:00:00,14547
22-01-2018,14:00:00,16630
22-01-2018,15:00:00,16760
22-01-2018,16:00:00,15610
22-01-2018,17:00:00,15653
22-01-2018,18:00:00,17588
22-01-2018,19:00:00,15698
22-01-2018,20:00:00,15105
22-01-2018,21:00:00,17652
22-01-2018,22:00:00,15091
22-01-2018,23:00:00,15248
23-01-2018,00:00:00,11850
23-01-2018,01:00:00,11326
23-01-2018,02:00:00,10947
23-01-2018,03:00:00,11630
23-01-2018,04:00:00,10075
23-01-2018,05:00:00,11804
23-01-2018,06:00:00,12177
23-01-2018,07:00:00,11727
23-01-2018,08:00:00,11543
23-01-2018,09:00:00,10892
23-01-2018,10:00:00,11430
23-01-2018,11:00:00,11461
23-01-2018,12:00:00,12085
23-01-2018,13:00:00,10885
23-01-2018,14:00:00,11215
23-01-2018,15:00:00,11932
23-01-2018,16:00:00,11941
23-01-2018,17:00:00,12232
23-01-2018,18:00:00,10388
23-01-2018,19:00:00,12533
23-01-2018,20:00:00,9792
23-01-2018,21:00:00,11599
23-01-2018,22:00:00,12921
23-01-2018,23:00:00,11871
24-01-2018,00:00:00,10639
24-01-2018,01:00:00,9942
24-01-2018,02:00:00,10354
24-01-2018,03:00:00,9560
24-01-2018,04:00:00,10114
24-01-2018,05:00:00,9615
24-01-2018,06:00:00,12262
24-01-2018,07:00:00,11368
24-01-2018,08:00:00,9459
24-01-2018,09:00:00,10378
24-01-2018,10:00:00,11281
24-01-2018,11:00:00,9572
24-01-2018,12:00:00,9741
24-01-2018,13:00:00,9904
24-01-2018,14:00:00,10024
24-01-2018,15:00:00,11343
24-01-2018,16:00:00,9878
24-01-2018,17:00:00,9782
24-01-2018,18:00:00,12344
24-01-2018,19:00:00,11504
24-01-2018,20:00:00,9570
24-01-2018,21:00:00,10502
24-01-2018,22:00:00,11464
24-01-2018,23:00:00,10414
25-01-2018,00:00:00,10160
25-01-2018,01:00:00,11072
25-01-2018,02:00:00,10543
25-01-2018,03:00:00,8831
25-01-2018,04:00:00,9572
25-01-2018,05:00:00,11068
25-01-2018,06:00:00,11472
25-01-2018,07:00:00,9916
25-01-2018,08:00:00,11530
25-01-2018,09:00:00,9920
25-01-2018,10:00:00,10469
25-01-2018,11:00:00,10121
25-01-2018,12:00:00,11598
25-01-2018,13:00:00,9992
25-01-2018,14:00:00,11316
25-01-2018,15:00:00,10778
25-01-2018,16:00:00,10256
25-01-2018,17:00:00,9713
25-01-2018,18:00:00,9453
25-01-2018,19:00:00,10815
25-01-2018,20:00:00,11351
25-01-2018,21:00:00,10843
25-01-2018,22:00:00,12262
25-01-2018,23:00:00,11053
26-01-2018,00:00:00,10995
26-01-2018,01:00:00,10562
26-01-2018,02:00:00,10327
26-01-2018,03:00:00,8901
26-01-2018,04:00:00,10454
26-01-2018,05:00:00,10302
26-01-2018,06:00:00,9933
26-01-2018,07:00:00,10167
26-01-2018,08:00:00,10648
26-01-2018,09:00:00,11072
26-01-2018,10:00:00,10250
26-01-2018,11:00:00,10614
26-01-2018,12:00:00,11096
26-01-2018,13:00:00,10874
26-01-2018,14:00:00,10379
26-01-2018,15:00:00,9909
26-01-2018,16:00:00,9069
26-01-2018,17:00:00,9980
26-01-2018,18:00:00,10113
26-01-2018,19:00:00,10234
26-01-2018,20:00:00,9413
26-01-2018,21:00:00,11734
26-01-2018,22:00:00,11120
26-01-2018,23:00:00,9478
27-01-2018,00:00:00,7946
27-01-2018,01:00:00,7321
27-01-2018,02:00:00,6879
27-01-2018,03:00:00,7232
27-01-2018,04:00:00,6276
27-01-2018,05:00:00,7551
27-01-2018,06:00:00,7545
27-01-2018,07:00:00,7598
27-01-2018,08:00:00,6764
27-01-2018,09:00:00,7070
27-01-2018,10:00:00,8586
27-01-2018,11:00:00,7035
27-01-2018,12:00:00,6739
27-01-2018,13:00:00,7386
27-01-2018,14:00:00,6914
27-01-2018,15:00:00,6964
27-01-2018,16:00:00,6346
27-01-2018,17:00:00,7034
27-01-2018,18:00:00,7115
27-01-2018,19:00:00,6633
27-01-2018,20:00:00,7970
27-01-2018,21:00:00,6960
27-01-2018,22:00:00,7479
27-01-2018,23:00:00,7862
28-01-2018,00:00:00,2806
28-01-2018,01:00:00,2565
28-01-2018,02:00:00,2843
28-01-2018,03:00:00,2784
28-01-2018,04:00:00,2985
28-01-2018,05:00:00,2816
28-01-2018,06:00:00,2722
28-01-2018,07:00:00,3039
28-01-2018,08:00:00,2696
28-01-2018,09:00:00,2775
28-01-2018,10:00:00,2767
28-01-2018,11:00:00,2915
28-01-2018,12:00:00,2805
28-01-2018,13:00:00,2922
28-01-2018,14:00:00,3116
28-01-2018,15:00:00,2953
28-01-2018,16:00:00,2735
28-01-2018,17:00:00,2939
28-01-2018,18:00:00,2793
28-01-2018,19:00:00,2714
